medication_id,Pharma_Class,Generic_name,Drug_Name_Dose,drug_concept_id,frequency,percentage
7948828,B-Complex Vitamin Combinations,B complex w-C no.20 folic acid,RENO CAPS 1 MG CAPSULE,19111620,400,1.45%
7900801,B-Complex Vitamin Combinations,B complex w-C no.20 folic acid,TRIPHROCAPS 1 MG CAPSULE,19111620,332,1.21%
7154119,B-Complex Vitamin Combinations,B complex w-C no.20 folic acid,RENAL CAPS 1 MG CAPSULE,19111620,215,0.78%
3513367,B-Complex Vitamin Combinations,B complex w-C no.20 folic acid,VIRT-CAPS 1 MG CAPSULE,19111620,171,0.62%
5811904,B-Complex Vitamin Combinations,B complex w-C no.20 folic acid,NEPHROCAPS 1 MG CAPSULE,19111620,168,0.61%
2034202,B-Complex Vitamin Combinations,B complex w-C no.20 folic acid,RENO CAPS ORAL,"",51,0.19%
1708183,Alternative Therapy - Unclassified,B-Sit m-19 bitter-orange peel,SLENDER CORTISOL ORAL,"",50,0.03%
2515573,B-Complex Vitamin Combinations,B-complex with vitamin C,B-COMPLEX WITH VITAMIN C TABLET,"",5042,18.33%
9008623,B-Complex Vitamin Combinations,B-complex with vitamin C,B-COMPLEX WITH VITAMIN C CAPSULE,"",690,2.51%
7669075,B-Complex Vitamin Combinations,B-complex with vitamin C,VITAMIN B COMPLEX-C ORAL,"",403,1.47%
8072651,B-Complex Vitamin Combinations,B-complex with vitamin C,SUPER B COMPLEX-VITAMIN C ORAL,"",61,0.22%
9041301,B-Complex Vitamin Combinations,B-complex with vitamin C,SUPER B COMPLEX + C ORAL,"",59,0.21%
7998904,Intestinal Flora Modifiers,B.animalis bifid infantis long,PROBIOTIC 4X ORAL,"",1721,1.12%
9967287,Intestinal Flora Modifiers,B.coagul subtilis inulin vit C,CULTURELLE PROBIOTIC-PREBIOTIC ORAL,"",51,0.03%
4920227,Vitamins - B Preparation Combinations,B1 B2 B3 B5 B6 FA B12 C,ZELDANA 5 MG-5 MG-37.5 MG-25 MG-1 MG CAPSULE,40241654,621,5.23%
5430584,Vitamins - B Preparation Combinations,B1 B2 B3 B5 B6 FA B12 C,RIBOZEL 5 MG-5 MG-37.5 MG-25 MG-1 MG CAPSULE,1592332,171,1.44%
7331415,Vitamins - B Preparation Combinations,B1 B2 niacin B12 protease,VITAMINS B1-B2-B3-B12-PROTEASE ORAL,"",91,0.77%
2848949,Vitamins - B Preparation Combinations,B1 B2 niacin B12 protease,B-COMPLEX WITH B-12 ORAL,"",60,0.5%
5133560,Vitamins - B Preparation Combinations,B12 levomefolate calcium B-6,FOLTX ORAL,"",70,0.59%
9988219,Vitamins - B Preparation Combinations,B12 methyltetrahydrofolate B6,B12 1 000 MCG-METHYLTETRAHYDROFOLATE 680 MCG DFE-B6 1.5 MG CHEW TABLET,19059817,186,1.57%
1417959,Alternative Therapy - Unclassified,B2 magnesium cit oxid feverfew,RIBOFLAVIN 200 MG-MAGNESIUM CITRATE OXIDE 180 MG-FEVERFEW 50 MG TABLET,1592332,268,0.15%
1501601,Alternative Therapy - Unclassified,B2 magnesium cit oxid feverfew,MIGRELIEF 200 MG-180 MG-50 MG TABLET,1592332,164,0.09%
3599640,Alternative Therapy - Unclassified,B2 magnesium cit oxid feverfew,MIGRELIEF ORAL,"",110,0.06%
6122104,Alternative Therapy - Unclassified,B2 magnesium cit oxid feverfew,RIBOFLAVIN 100 MG-MAGNESIUM CITRATE OXIDE 90 MG-FEVERFEW 25 MG CAPSULE,1592332,58,0.03%
4082860,Alternative Therapy - Unclassified,B2 magnesium cit oxid feverfew,CHILDREN S MIGRELIEF 100 MG-90 MG-25 MG CAPSULE,1592332,55,0.03%
8175388,Multivitamin and Mineral Combinations,B2 vits A C E lut zeaxanth min,ICAPS ORAL,"",130,0.07%
9427824,Dietary Product - Dietary Supplements,B6 folic B12 coffee phosphatid,NEURIVA PLUS ORAL,"",55,0.07%
1878245,Antineoplastic - Other,BCG live,BCG LIVE 50 MG INTRAVESICAL SUSPENSION,19086178,16234,85.64%
8670771,Antineoplastic - Other,BCG live,BCG LIVE 50 MG INTRAVESICAL SUSPENSION-NO DUAL SIGN,19086178,2676,14.12%
7705785,Unmapped,BCG live,BAD BCG (TICE) 50MG IN 0.9% NACL 50ML INTRAVESICAL INSTILLATION,"",701,0.02%
4090322,Intestinal Flora Modifiers,Bacillus coagulans,PROBIOTIC (B. COAGULANS) ORAL,"",698,0.45%
2113138,Intestinal Flora Modifiers,Bacillus coagulans,DIGESTIVE ADVANTAGE ORAL,"",178,0.12%
3316551,Intestinal Flora Modifiers,Bacillus coagulans,BACILLUS COAGULANS 10 BILLION CELL CAPSULE DELAYED RELEASE,42898673,161,0.1%
4090116,Intestinal Flora Modifiers,Bacillus coagulans,PROBIOTIC (B. COAGULANS) 10 BILLION CELL CAPSULE DELAYED RELEASE,42898673,91,0.06%
2539922,Intestinal Flora Modifiers,Bacillus coagulans,BACILLUS COAGULANS 250 MILLION CELL CHEWABLE TABLET,35602795,89,0.06%
1269471,Intestinal Flora Modifiers,Bacillus coagulans,DIGESTIVE ADVANTAGE PROBIOTIC GUMMY 250 MILLION CELL CHEWABLE TABLET,35602795,85,0.06%
3920386,Intestinal Flora Modifiers,Bacillus coagulans inulin,BACILLUS COAGULANS-INULIN 1 BILLION CELL-250 MG CAPSULE,44506722,301,0.2%
8257329,Intestinal Flora Modifiers,Bacillus coagulans inulin,PROBIOTIC WITH PREBIOTIC ORAL,"",279,0.18%
2239033,Intestinal Flora Modifiers,Bacillus coagulans inulin,PROBICHEW 21 BILLION CELL-1 GRAM TABLET,980478,171,0.11%
5495158,Intestinal Flora Modifiers,Bacillus coagulans inulin,PROBIOTIC FORMULA (INULIN) 1 BILLION CELL-250 MG CAPSULE,44506722,77,0.05%
7345844,Intestinal Flora Modifiers,Bacillus coagulans lactase,BACILLUS COAGULANS 500 MILLION CELL-LACTASE 3 000 UNIT CAPSULE,42898673,54,0.04%
5452683,Intestinal Flora Modifiers,Bacillus subtilis inulin,BACILLUS SUBTILIS 1.5 BILLION CELL-INULIN 1 GRAM CHEWABLE TABLET,37497592,80,0.05%
4262232,Intestinal Flora Modifiers,Bifidobacterium infantis,ALIGN ORAL,"",5300,3.44%
1934861,Intestinal Flora Modifiers,Bifidobacterium infantis,BIFIDOBACTERIUM INFANTIS 4 MG CAPSULE,19043429,4690,3.04%
2120284,Intestinal Flora Modifiers,Bifidobacterium infantis,ALIGN (B.INFANTIS) 4 MG CAPSULE,19043429,688,0.45%
7174162,Intestinal Flora Modifiers,Bifidobacterium infantis,BIFIDOBACTERIUM INFANTIS 10.5 MG (10 MILLION CELL) CHEWABLE TABLET,1718998,286,0.19%
8378037,Intestinal Flora Modifiers,Bifidobacterium infantis,ALIGN (B.INFANTIS) 10.5 MG (10 MILLION CELL) CHEWABLE TABLET,40220432,251,0.16%
6034541,Intestinal Flora Modifiers,Bifidobacterium infantis,ALIGN (B.INFANTIS) ORAL,"",53,0.03%
1276640,Alternative Therapy - Unclassified,Boswellia serrata extract,BOSWELLIA SERRATA XT (BULK) MISC,"",220,0.13%
9648521,Alternative Therapy - Unclassified,Boswellia serrata extract,BOSWELLIA SERRATA EXTRACT (BULK) 100 % POWDER,40161071,54,0.03%
5017209,Multivitamin and Mineral Combinations,C E zinc copper 11 omega3s lut,OCUVITE ADULT 50+ ORAL,"",228,0.12%
8801981,Multivitamin and Mineral Combinations,C E zinc copper 11 omega3s lut,VIT C E ZINC COPPER-OMEGA3S 250 MG-LUTEIN 5 MG-ZEAXANTHIN 1 MG CAPSULE,19016670,150,0.08%
2814271,Unmapped,C E zinc copper 11 omega3s lut,OCUVITE ADULT 50 PLUS 250 MG-5 MG-1 MG CAPSULE,1398753,83,0.0%
8358878,Dietary Product - Dietary Supplements,C sourcherry celery grape seed,TART CHERRY ORAL,"",378,0.47%
9036674,Ophthalmic - Surgical Aids Other,C.I. acid blue 90,BRILLIANT BLUE G (TISSUEBLUE) OPHTHALMIC SOLUTION 0.025% 0.5 ML - FOR ILM STAINING,963859,200,1.08%
5545446,C1 Esterase Inhibitor Agents,C1 esterase inhibitor,C1 ESTERASE INHIBITOR 500 UNIT (10 ML) INTRAVENOUS KIT,19132839,123,34.55%
2211936,Vaccine Viral - COVID-19 (SARS-CoV-2),COVID vac 23-24(12up)(andu) PF,COVID VAC 2023-24 (12 YR UP)(ANDUSOMERAN)(PF) 50 MCG 0.5 ML IM SYRINGE,"",533,5.22%
5913401,Vaccine Viral - COVID-19 (SARS-CoV-2),COVID vac 23-24(12up)(andu) PF,SPIKEVAX 2023-2024(12Y UP)(PF) 50 MCG 0.5 ML INTRAMUSCULAR SYRINGE,"",324,3.17%
2136305,Vaccine Viral - COVID-19 (SARS-CoV-2),COVID vac 23-24(12up)(andu) PF,COVID VAC 2023-24 (12YR AND UP)(ANDUSOMERAN)(PF) 50 MCG 0.5 ML IM SUSP,"",248,2.43%
1940458,Vaccine Viral - COVID-19 (SARS-CoV-2),COVID vac 23-24(12up)(andu) PF,COVID BOOSTER VACCINE (WRAPPED ERX),"",225,2.2%
6253146,Vaccine Viral - COVID-19 (SARS-CoV-2),COVID vac 23-24(12up)(raxt) PF,COMIRNATY 2023-24 (12Y UP)(PF) 30 MCG 0.3 ML INTRAMUSCULAR SYRINGE,"",603,5.91%
1911634,Vaccine Viral - COVID-19 (SARS-CoV-2),COVID vac 23-24(12up)(raxt) PF,COMIRNATY 2023-24 (12Y UP)(PF) 30 MCG 0.3 ML INTRAMUSCULAR SUSPENSION,"",126,1.23%
7682186,Vaccine Viral - COVID-19 (SARS-CoV-2),COVID vac 24-25 (12up)(Mod) PF,COVID VACC 2024-25 (12 YRS UP) (MODERNA)(PF) 50 MCG 0.5 ML IM SYRINGE,"",1453,14.23%
5973463,Vaccine Viral - COVID-19 (SARS-CoV-2),COVID vac 24-25 (12up)(Mod) PF,SPIKEVAX 2024-2025(12Y UP)(PF) 50 MCG 0.5 ML INTRAMUSCULAR SYRINGE,"",258,2.53%
7010452,Vaccine Viral - COVID-19 (SARS-CoV-2),COVID vac 24-25 (12up)(Pfi) PF,COVID VACC 2024-2025 (12 YRS UP) (PFIZER)(PF) 30 MCG 0.3 ML IM SYRINGE,"",474,4.64%
1785668,Vaccine Viral - COVID-19 (SARS-CoV-2),COVID vac 24-25 (12up)(Pfi) PF,COMIRNATY 2024-25 (12Y UP)(PF) 30 MCG 0.3 ML INTRAMUSCULAR SYRINGE,"",417,4.08%
6573206,"Medical Supply, FDB Superset",COVID-19 antigen test,BINAXNOW COVID-19 AG SELF TEST KIT,"",897,2.87%
7292588,"Medical Supply, FDB Superset",COVID-19 antigen test,FLOWFLEX COVID-19 ANTIGEN HOME TEST KIT,"",853,2.73%
8470071,"Medical Supply, FDB Superset",COVID-19 antigen test,COVID-19 AT-HOME TEST KIT,"",827,2.65%
7606905,"Medical Supply, FDB Superset",COVID-19 antigen test,QUICKVUE AT-HOME COVID-19 TEST KIT,"",163,0.52%
8322537,"Medical Supply, FDB Superset",COVID-19 antigen test,IHEALTH COVID-19 ANTIGEN RAPID HOME TEST KIT,"",84,0.27%
2807914,"Medical Supply, FDB Superset",COVID-19 antigen test,COVID-19 ANTIGEN IMMUNOASSAY TEST KIT,"",79,0.25%
2171667,"Medical Supply, FDB Superset",COVID-19 molecular test assay,ID NOW COVID-19 TEST KIT,"",358,1.15%
2779568,"Medical Supply, FDB Superset",COVID-19 test specimen collect,COVID-19 TEST SPECIMEN COLLECTION,"",323,1.03%
9121700,Vaccine Viral - COVID-19 (SARS-CoV-2),COVID-19 vac  bv (Moderna) PF,COVID-19 VACC BV(ORIG BA.4 5)(MODERNA)(PF) 50 MCG 0.5 ML IM SUSP (EUA),"",614,6.01%
3634630,Vaccine Viral - COVID-19 (SARS-CoV-2),COVID-19 vac  bv (Pfizer) PF,COVID-19 VACC BV(ORIG BA.4 5)(PFIZER)(PF) 30 MCG 0.3 ML IM SUSP (EUA),"",104,1.02%
2064589,Vaccine Viral - COVID-19 (SARS-CoV-2),COVID-19 vac  tris(Pfizer) PF,COVID-19 VAC MRNA (12Y UP)(PFIZER)(PF) 30 MCG 0.3 ML IM SUSP (GRAY),37003436,1769,17.33%
6195778,Vaccine Viral - COVID-19 (SARS-CoV-2),COVID-19 vac Ad26(Janssen) PF,COVID-19 VACCINE  AD26.COV2.S (JANSSEN)(PF) 0.5 ML IM SUSPENSION (EUA),739906,850,8.33%
7447000,Vaccine Viral - COVID-19 (SARS-CoV-2),COVID-19 vacc  mRNA(Pfizer) PF,COVID-19 VACCINE  MRNA (PFIZER) (PF) 30 MCG 0.3 ML IM SUSP (PURPLE),37003436,410,4.02%
7308531,Vaccine Viral - COVID-19 (SARS-CoV-2),COVID-19 vacc  mRNA(Pfizer) PF,HIC 2000030529 BNT162B2 (PF-07302048) VACCINE OR PLACEBO 3 MCG,37003436,248,2.43%
1239589,Vaccine Viral - COVID-19 (SARS-CoV-2),COVID-19 vacc  mRNA(Pfizer) PF,HIC 2000030529 BNT162B2 (PF-07302048) VACCINE OR PLACEBO 10 MCG,37003436,155,1.52%
3071906,Vaccine Viral - COVID-19 (SARS-CoV-2),COVID-19 vacc  mRNA(Pfizer) PF,HIC 2000028707 BNT162 B2 VACCINE,37003436,134,1.31%
1400894,Vaccine Viral - COVID-19 (SARS-CoV-2),COVID-19 vacc  mRNA(Pfizer) PF,PFIZER COVID-19 VACCINE (EUA) IM,"",68,0.67%
1902465,Vaccine Viral - COVID-19 (SARS-CoV-2),COVID-19 vacc mRNA(Moderna) PF,HIC 2000030247 MRNA-1273 VACCINE OR PLACEBO 50 MCG INJECTION,37003518,327,3.2%
3345206,Vaccine Viral - COVID-19 (SARS-CoV-2),COVID-19 vacc mRNA(Moderna) PF,HIC 2000030247 MRNA-1273 VACCINE OR PLACEBO 25 MCG INJECTION,37003518,158,1.55%
1499601,Vaccine Viral - COVID-19 (SARS-CoV-2),COVID-19 vacc mRNA(Moderna) PF,COVID-19 VACCINE MRNA CX024414(MODERNA)(PF)100 MCG 0.5 ML IM SUSP,37003518,153,1.5%
6011242,Vaccine Viral - COVID-19 (SARS-CoV-2),COVID-19 vacc mRNA(Moderna) PF,HIC 2000030247 MRNA-1273 VACCINE 25 MCG,37003518,91,0.89%
6680614,Vaccine Viral - COVID-19 (SARS-CoV-2),COVID-19 vacc mRNA(Moderna) PF,MODERNA COVID-19 VACCINE (EUA) IM,"",84,0.82%
6238459,Vaccine Viral - COVID-19 (SARS-CoV-2),COVID-19 vacc mRNA(Moderna) PF,HIC 2000030247 MRNA-1273 VACCINE 50 MCG,37003518,82,0.8%
5051208,Minerals and Electrolytes - Calcium Replacement Combinations,Ca D3 mag ox zinc cop mang bor,CALCIUM 600 MG-D3 20 MCG-MAGNESIUM 50 MG-ZN-COPPER-MANGAN-BORON TABLET,19092849,174,0.68%
7197457,Minerals and Electrolytes - Calcium Replacement Combinations,Ca D3 mag ox zinc cop mang bor,CALCIUM 600+D3 PLUS ORAL,"",115,0.45%
6667284,Minerals and Electrolytes - Calcium Replacement Combinations,Ca D3 mag ox zinc cop mang bor,CALCIUM 600-D3 PLUS (MAG-ZINC) ORAL,"",73,0.29%
6975818,Minerals and Electrolytes - Calcium Replacement Combinations,Ca D3 mag ox zinc cop mang bor,CALCIUM 600-D3 PLUS ORAL,"",56,0.22%
1410928,Minerals and Electrolytes - Calcium Replacement Combinations,Ca D3 mag zinc copp mang MgBor,CALTRATE 600-D MINERALS 600 MG (CARBONATE)-800 UNIT-40 MG CHEW TABLET,43526046,84,0.33%
2135194,Multivitamin and Mineral Combinations,Ca comb no.1 vit D3 B6 FA B12,VITAMIN D3 (CALCIUM CIT-PHOS) ORAL,"",150,0.08%
5244824,Multivitamin and Mineral Combinations,Ca comb no.1 vit D3 B6 FA B12,HEARTBURN & ACID REFLUX ORAL,"",57,0.03%
7139949,Allergenic Extract Others,Candida albicans skin test,CANDIDA ANTIGEN 100 PNU ML,"",814,81.24%
3709141,Allergenic Extract Others,Candida albicans skin test,CANDIDA ALBICANS SKIN TEST FDA STANDARD INTRADERMAL,"",174,17.37%
8688832,Acne Therapy Topical - Anti-infective-Keratolytic Combinations,Clindamycin Benzoyl Prx Skn #5,CLINDAMYCIN-BENZOYL PEROXIDE-SKIN CLEANSER #5 1 %-5 % TOPICAL KIT,997957,111,0.24%
4424473,Alternative Therapy - Unclassified,Colostrum selen gr t Mush Cmb1,COLOSTRUM-SE-GRTEA-MUSHROOMCMB ORAL,"",103,0.06%
5711261,Alternative Therapy - Unclassified,D3 E Se soy isofl tocoph lycop,PROSTATE 2.4 ORAL,"",83,0.05%
2744836,"Non-Opioid Antitus-1st Gen Antihist.-Decongest-Analgesic,Non-Salicylat",DM PE acetaminophen doxylamine,VICKS DAYQUIL-NYQUIL ORAL,"",118,4.75%
3547374,Non-Opioid Antitussive-1st Gen.Antihistamine-Decongestant Combinations,DM Phenyleph Pyril Dexchlrophe,RESPERAL ORAL,"",85,0.33%
1186231,"Non-Opioid Antitussive-1st Gen Antihistamine-Analgesic, Non-Salicylate",DM acetaminophen doxylamine,DOXYLAMINE-DM-ACETAMINOPHEN 6.25 MG-15 MG-325 MG 15 ML ORAL LIQUID,37003565,61,12.25%
3719159,"Non-Opioid Antitus-1st Gen Antihist.-Decongest-Analgesic,Non-Salicylat",DM p-ephed acetaminoph doxylam,NYQUIL ORAL,"",1525,61.34%
5282444,"Non-Opioid Antitus-1st Gen Antihist.-Decongest-Analgesic,Non-Salicylat",DM p-ephed acetaminoph doxylam,NYQUIL D ORAL,"",100,4.02%
7105894,"Non-Opioid Antitus-1st Gen Antihist.-Decongest-Analgesic,Non-Salicylat",DM p-ephed acetaminoph doxylam,DOXYLAMIN-PSE-DM-ACETAMINOPHEN 6.25 MG-30 MG-15MG-500MG 15ML ORAL LIQD,42707813,70,2.82%
2543463,"Non-Opioid Antitus-1st Gen Antihist.-Decongest-Analgesic,Non-Salicylat",DM p-ephed acetaminoph doxylam,VICKS NYQUIL ORAL,"",52,2.09%
4782747,Non-Opioid Antitussive-Decongestant Combinations,DM pseudoephed acetaminoph cpm,THERAFLU COLD-COUGH ORAL,"",96,47.76%
6259676,"Non-Opioid Antitus-1st Gen Antihist.-Decongest-Analgesic,Non-Salicylat",DM pseudoephed acetaminoph cpm,TYLENOL COLD ORAL,"",78,3.14%
5131154,"Non-Opioid Antitus-1st Gen Antihist.-Decongest-Analgesic,Non-Salicylat",DM pseudoephed acetaminoph cpm,FLU  COLD  & COUGH MEDICINE ORAL,"",67,2.7%
3013326,"Non-Opioid Antitussive-Decongestant-Analgesic, Non-Salicylate Comb",DM pseudoephed acetaminophen,VICKS DAYQUIL ORAL,"",740,58.82%
1288583,Toxoid Vaccine Combinations,DTaP-IPV component 1 of 2 PF,PENTACEL-DTAP-IPV COMPONENT 1OF2(PF) 15 LF-48 MCG-5 LF UNIT 0.5ML IM SUSPENSION,523283,194,0.09%
4223565,Alternative Therapy - Unclassified,Echinacea,ECHINACEA ORAL,"",547,0.31%
8602606,Alternative Therapy - Unclassified,Echinacea,ECHINACEA 400 MG CAPSULE,1398677,196,0.11%
7901450,Alternative Therapy - Unclassified,Echinacea,ECHINACEA 1X ORAL,"",191,0.11%
4172832,Bulk Chemicals,Echinacea,ECHINACEA (BULK) MISC,"",92,0.22%
6263488,Alternative Therapy - Unclassified,Echinacea,ECHINACEA 380 MG CAPSULE,1391199,70,0.04%
6465938,Alternative Therapy - Unclassified,Echinacea,ECHINACEA 500 MG CAPSULE,1398677,68,0.04%
4625726,Alternative Therapy - Unclassified,Echinacea purpurea extract,ECHINACEA PURPUREA EXTRACT 125 MG TABLET,19059159,64,0.04%
2506496,Multivitamin and Mineral Combinations,FA mv Ca iron min lycopene lut,MULTIVITAL ORAL,"",787,0.43%
3432705,Multivitamin and Mineral Combinations,FA mv Ca iron min lycopene lut,MULTIVIT-MIN-FA 0.4 MG-CALCIUM 162 MG-IRON 18 MG-LYCOPEN-LUTEIN TABLET,1398753,324,0.18%
1528530,Multivitamin and Mineral Combinations,FA niacinamide cupric ox Zn ox,NICOTINAMIDE ORAL,"",238,0.13%
7719821,Factor VIII Preparations (AHF),FVIII rec Fc-VWF-XTEN BDD-ehtl,ALTUVIIIO 3 000 (+ -) UNIT INTRAVENOUS SOLUTION,"",76,1.63%
6168112,Vaccine Viral - Human Papillomavirus (HPV) Vaccines,HPV vaccine 9-valent PF,HUMAN PAPILLOMAVIRUS VACCINE 9-VALENT (PF) 0.5 ML IM SUSPENSION,45892510,8104,40.46%
2143932,Vaccine Viral - Human Papillomavirus (HPV) Vaccines,HPV vaccine 9-valent PF,HUMAN PAPILLOMAVIRUS VACCINE 9-VALENT(PF) 0.5 ML INTRAMUSCULAR SYRINGE,45892514,7805,38.97%
9367787,Vaccine Viral - Human Papillomavirus (HPV) Vaccines,HPV vaccine 9-valent PF,HUMAN PAPILLOMAVIRUS VACCINE 9-VALENT (PF)(FREE VACCINE) 0.5 ML IM SUSPENSION,45892510,1115,5.57%
9881389,Vaccine Viral - Human Papillomavirus (HPV) Vaccines,HPV vaccine 9-valent PF,GARDASIL 9 (PF) 0.5 ML INTRAMUSCULAR SUSPENSION,45892510,831,4.15%
