procedure_id,concept_name,concept_id,order_code,order_description,frequency,percentage,domain_id,vocabulary_id,concept_code,concept_class_id
3147770,Procedure involving urinary catheter,4181165,NUR375,DOUBLE LUMEN URINARY CATHETER,303407,0.55%,Procedure,SNOMED,429723008,Procedure
9531876,No matching concept,0,IMGR01,CT RESULT SCAN,300493,0.54%,Metadata,None,No matching concept,Undefined
6064939,"","",ACTV1,ACTIVITY AS TOLERATED-MOBILIZE TO TARGET HIGHEST LEVEL OF MOBILITY(HLM),295031,0.53%,"","","",""
2887335,"Electrocardiogram, routine ECG with at least 12 leads; with interpretation and report",2313814,PRO500,ED EKG,294244,0.53%,Procedure,CPT4,93000,CPT4
4862354,"Tetanus, diphtheria and acellular pertussis vaccination",762510,IMM61,TDAP VACCINE GREATER THAN OR EQUAL TO 7YO IM,292846,0.53%,Procedure,SNOMED,428251000124104,Clinical Finding
1500246,"Insertion of non-indwelling bladder catheter (eg, straight catheterization for residual urine)",2109730,NUR385,STRAIGHT CATH,288023,0.52%,Procedure,CPT4,51701,CPT4
4004377,No matching concept,0,NUR1341,PERFORM CG4  I-STAT  VENOUS  (YH),287950,0.52%,Metadata,None,No matching concept,Undefined
5825098,"Computed tomographic angiography, chest (noncoronary), with contrast material(s), including noncontrast images, if performed, and image postprocessing",2211381,IMG202,CT CHEST W IV CONTRAST,287287,0.52%,Procedure,CPT4,71275,CPT4
7754926,Noninvasive ear or pulse oximetry for oxygen saturation; by continuous overnight monitoring (separate procedure),2314049,NUR586,CONTINUOUS PULSE OXIMETRY,285877,0.51%,Procedure,CPT4,94762,CPT4
9012586,No matching concept,0,ADT7,ZZZRETIREDTRANSFER PATIENT,285352,0.51%,Metadata,None,No matching concept,Undefined
5567919,Occupational therapy assessment,4261887,OT1,OT EVAL AND TREAT,276281,0.5%,Procedure,SNOMED,410155007,Procedure
4843572,No matching concept,0,NUR562,MAINTAIN IV ACCESS,275377,0.5%,Metadata,None,No matching concept,Undefined
4231603,No matching concept,0,REF19,AMB REFERRAL TO DERMATOLOGY,272125,0.49%,Metadata,None,No matching concept,Undefined
5087044,No matching concept,0,LAB895,ABO RH,270699,0.49%,Metadata,None,No matching concept,Undefined
4090740,No matching concept,0,NUR579,L  HOLD PARAMETERS FOR ANC & PLATELETS,268019,0.48%,Metadata,None,No matching concept,Undefined
4328800,"Radiologic examination, abdomen; 1 view",724944,IMG154,XR ABDOMEN AP,266815,0.48%,Procedure,CPT4,74018,CPT4
1747060,"Computed tomography, abdomen and pelvis; without contrast material",40756931,IMG784,CT ABDOMEN PELVIS WO IV CONTRAST,266224,0.48%,Procedure,CPT4,74176,CPT4
1755262,No matching concept,0,LAB8059,PREPARE RBC,266051,0.48%,Metadata,None,No matching concept,Undefined
9505960,"Ultrasound, transvaginal",2211765,IMG547,US NON-OB TRANSVAGINAL,264853,0.48%,Procedure,CPT4,76830,CPT4
9195433,No matching concept,0,IMG1070,US THYROID,264593,0.48%,Metadata,None,No matching concept,Undefined
7944123,No matching concept,0,ADT103,PLACE IN ED OBSERVATION,263583,0.47%,Metadata,None,No matching concept,Undefined
3737036,Elevation of head of bed,4172820,NUR51,ELEVATE HOB,261626,0.47%,Procedure,SNOMED,423171007,Procedure
8289823,Biopsy of skin,4081731,LAB4147,DERMPATH BIOPSY     (YMG),260040,0.47%,Procedure,SNOMED,240977001,Procedure
6651425,No matching concept,0,LABEX10820,SARS COV-2 (COVID-19) AG (EXTERNAL LAB),259898,0.47%,Metadata,None,No matching concept,Undefined
3760536,Surgical pathology procedure,4213297,LAB3673,SURGICAL PATHOLOGY     (BH),258726,0.47%,Procedure,SNOMED,39228008,Procedure
9722634,Isolation of infection contact,4015847,ISO18,SPECIAL RESPIRATORY ISOLATION STATUS,257330,0.46%,Procedure,SNOMED,170499009,Procedure
5275786,No matching concept,0,LAB5193,C. TRACHOMATIS N. GONORRHOEAE RNA BY TMA  (Q),254439,0.46%,Metadata,None,No matching concept,Undefined
5893527,No matching concept,0,PFT45,PULMONARY FUNCTION TEST (YNH AND SRC ONLY),254288,0.46%,Metadata,None,No matching concept,Undefined
4106910,No matching concept,0,REF62,AMB REFERRAL TO ORTHOPEDIC SURGERY,254093,0.46%,Metadata,None,No matching concept,Undefined
1932286,No matching concept,0,DNS1,NUTRITION SUPPLEMENTS,246117,0.44%,Metadata,None,No matching concept,Undefined
3117600,No matching concept,0,REF46,AMB REFERRAL TO NEUROLOGY,239912,0.43%,Metadata,None,No matching concept,Undefined
4957620,Plain radiography,4056681,IMGR03,XRAY RESULT SCAN,238824,0.43%,Procedure,SNOMED,168537006,Procedure
3643756,Noninvasive ear or pulse oximetry for oxygen saturation; single determination,2314047,NUR585,PULSE OXIMETRY,233156,0.42%,Procedure,CPT4,94760,CPT4
4228761,No matching concept,0,NUR162,BED REST,233037,0.42%,Metadata,None,No matching concept,Undefined
3960640,ECG 24 hour recording,40217715,NUR22524,TELEMETRY MONITORING-24 HOURS,232933,0.42%,Procedure,HCPCS,G0005,HCPCS
4866050,No matching concept,0,ISO1,CONTACT ISOLATION STATUS,232514,0.42%,Metadata,None,No matching concept,Undefined
1985894,Use of intermittent pneumatic compression device,44808403,NUR563,MAINTAIN SEQUENTIAL COMPRESSION DEVICE,231732,0.42%,Procedure,SNOMED,829481000000104,Procedure
7615619,Cold pack treatment,4042701,NUR397,ICE COLD COMPRESS,231639,0.42%,Procedure,SNOMED,229585002,Procedure
4042596,"Dual-energy X-ray absorptiometry (DXA), bone density study, 1 or more sites; axial skeleton (eg, hips, pelvis, spine)",2211826,IMG1452,DEXA BONE DENSITY SPINE AND HIP,231172,0.42%,Procedure,CPT4,77080,CPT4
5206236,"Magnetic resonance (eg, proton) imaging, brain (including brain stem); without contrast material",2211351,IMG269,MRI BRAIN WO IV CONTRAST,229902,0.41%,Procedure,CPT4,70551,CPT4
5774613,No matching concept,0,NUR1350,PERFORM CHEM8  ISTAT (YH),229258,0.41%,Metadata,None,No matching concept,Undefined
2173348,No matching concept,0,ADT30,ZZZRETIREDYNH ED ADMIT TO MEDICAL SERVICE,225686,0.41%,Metadata,None,No matching concept,Undefined
6059702,No matching concept,0,NUR225,TELEMETRY MONITORING,222715,0.4%,Metadata,None,No matching concept,Undefined
4171295,No matching concept,0,NUR26522,POST FOLEY PROTOCOL,220472,0.4%,Metadata,None,No matching concept,Undefined
9556290,"CT of thorax, abdomen and pelvis with contrast",4200610,IMG1428,CT CHEST ABDOMEN PELVIS W IV CONTRAST,219928,0.4%,Procedure,SNOMED,433761009,Procedure
6190426,"Magnetic resonance (eg, proton) imaging, spinal canal and contents, lumbar; without contrast material",2211414,IMG283,MRI LUMBAR SPINE WO IV CONTRAST,217816,0.39%,Procedure,CPT4,72148,CPT4
9617921,Transfusion of red blood cells,4022173,NUR619,TRANSFUSE RED BLOOD CELLS,217405,0.39%,Procedure,SNOMED,116863004,Procedure
2835658,No matching concept,0,NUR1460,DOCUMENT INTAKE OF SUPPLEMENT,214098,0.39%,Metadata,None,No matching concept,Undefined
2709401,No matching concept,0,NUR1351,PERFORM POCT TROPONIN (YH),213487,0.38%,Metadata,None,No matching concept,Undefined
4599659,No matching concept,0,NUR579,QQQ  COMMUNICATION TO NURSING,211743,0.38%,Metadata,None,No matching concept,Undefined
7990258,Administration of vaccine,44791414,IMM2131,COVID-19 PFIZER 2ND DOSE GENERIC VACCINE ORDER,211673,0.38%,Procedure,SNOMED,283511000000105,Procedure
9075105,Fetal non-stress test,2110284,OBO15,FETAL NONSTRESS TEST,211428,0.38%,Procedure,CPT4,59025,CPT4
7987754,"Clostridium difficile toxin(s) antigen detection by immunoassay technique, stool, qualitative, multiple-step method",709858,LAB7877,C. DIFFICILE ASSAY,211091,0.38%,Procedure,CPT4,0107U,CPT4
6208324,Continuous ECG monitoring,4141651,NUR22549,TELEMETRY MONITORING-CONTINUOUS (ORDER DOES NOT AUTO-EXPIRE),209566,0.38%,Procedure,SNOMED,266706003,Procedure
4422112,X-ray skeletal survey of chest with oblique ribs,46286682,IMG2231,XR CHEST OBLIQUES,208599,0.38%,Procedure,SNOMED,989481000000102,Procedure
2086332,Diagnostic digital breast tomosynthesis; bilateral,46257521,IMG3732,MAMMO DIAGNOSTIC TOMO BILATERAL,203424,0.37%,Procedure,CPT4,77062,CPT4
2955174,"Blood typing, serologic; Rh phenotyping, complete",2212950,LAB8032,TYPE AND RH RECHECK     (BH GH LMW YH),202392,0.36%,Procedure,CPT4,86906,CPT4
5937135,24 Hour ECG,4098508,CAR02,HOLTER MONITOR - 24 HOUR,198401,0.36%,Procedure,SNOMED,252417001,Procedure
6430691,No matching concept,0,LAB228,THROAT CULTURE     (Q),197764,0.36%,Metadata,None,No matching concept,Undefined
5244732,Colonoscopy,4249893,HM4,HM COLONOSCOPY,197167,0.35%,Procedure,SNOMED,73761001,Procedure
7104002,No matching concept,0,NUR1180,ADMIT TO PROGRAM,196522,0.35%,Metadata,None,No matching concept,Undefined
7584865,"",423558004,NUR475,NEUROVASCULAR CHECKS,190195,0.34%,"","","",""
6381165,No matching concept,0,NUR1261,DISCHARGE ACTIVITY,190028,0.34%,Metadata,None,No matching concept,Undefined
8531154,Administration of pneumococcal 13-valent conjugate vaccine,37208053,IMM54,PNEUMOCOCCAL CONJUGATE VACCINE 13-VALANT LESS THAN 5YO IM,190021,0.34%,Procedure,SNOMED,459981000124107,Procedure
4513854,Consistent carbohydrate diet,763064,DIET122,DIET CARDIAC CONSISTENT CARBOHYDRATE,189849,0.34%,Procedure,SNOMED,435651000124106,Procedure
1207368,No matching concept,0,LAB3221,LOWER RESPIRATORY CULTURE     (BH GH L LMW YH),189669,0.34%,Metadata,None,No matching concept,Undefined
7926906,Duplex scan of extremity veins including responses to compression and other maneuvers; complete bilateral study,2313990,IMG1212,US DUPLEX LOWER EXTREMITY VENOUS BILATERAL,189165,0.34%,Procedure,CPT4,93970,CPT4
5215036,No matching concept,0,NUR3248,INITIATE PRE-OP NURSING STANDING ORDERS ADULT,188240,0.34%,Metadata,None,No matching concept,Undefined
3494027,No matching concept,0,CON34,IP CONSULT TO NUTRITION SERVICES,187036,0.34%,Metadata,None,No matching concept,Undefined
1466624,Esophagogastroduodenoscopy,4294382,GI47,UPPER  ENDOSCOPY,185798,0.33%,Procedure,SNOMED,76009000,Procedure
1964010,"Cardiovascular stress test using maximal or submaximal treadmill or bicycle exercise, continuous electrocardiographic monitoring, and/or pharmacological stress; tracing only, without interpretation and report",2313821,CAR141,EXERCISE STRESS TEST  NO IMAGING,185489,0.33%,Procedure,CPT4,93017,CPT4
7238730,Mammography,4324693,IMGR04,MAMMOGRAPHY RESULT SCAN,182764,0.33%,Procedure,SNOMED,71651007,Procedure
4536971,Pain assessment,4021323,NUR985,PAIN ASSESSMENT,181642,0.33%,Procedure,SNOMED,225399009,Procedure
6721524,No matching concept,0,NUR1260,CALL MD,180986,0.33%,Metadata,None,No matching concept,Undefined
7998323,"","",APPT22,PROVIDER RETURN,180952,0.33%,"","","",""
9990336,No matching concept,0,NUR401,DRESSING CHECK,180394,0.32%,Metadata,None,No matching concept,Undefined
8877914,No matching concept,0,ADT101,ED ADMIT TO INPATIENT,180145,0.32%,Metadata,None,No matching concept,Undefined
4711827,No matching concept,0,PRE5,FALL PRECAUTIONS,178525,0.32%,Metadata,None,No matching concept,Undefined
6335478,"Referral to ear, nose and throat service",4079634,REF23,AMB REFERRAL TO ENT,177980,0.32%,Observation,SNOMED,183544005,Procedure
6049503,No matching concept,0,NUR1272,PREOP: ACTIVATE YNHH PROCEDURAL ADMISSION PROTOCOL,177504,0.32%,Metadata,None,No matching concept,Undefined
2691649,Duplex scan of extracranial arteries; complete bilateral study,2313975,IMG1202,US DUPLEX CAROTID BILATERAL COMPLETE,176993,0.32%,Procedure,CPT4,93880,CPT4
3665663,No matching concept,0,REF106,AMB REFERRAL TO UROLOGY,175627,0.32%,Metadata,None,No matching concept,Undefined
8307336,No matching concept,0,NUR1222,PERFORM CHG BATH,175085,0.31%,Metadata,None,No matching concept,Undefined
3869507,"Ultrasonography of abdomen, right upper quadrant and epigastrium",42535580,IMG3918,US RIGHT UPPER QUADRANT (BH GH YH YHC LM WH),174564,0.31%,Procedure,SNOMED,426701000119108,Procedure
3396247,No matching concept,0,REF34,AMB REFERRAL TO HOME HEALTH,173386,0.31%,Metadata,None,No matching concept,Undefined
6331755,No matching concept,0,NUR1262,DISCHARGE DIET,173259,0.31%,Metadata,None,No matching concept,Undefined
8605913,X-ray of right foot,4144465,IMG150,XR FOOT RIGHT AP LATERAL AND OBLIQUE,172969,0.31%,Procedure,SNOMED,426311001,Procedure
4414291,No matching concept,0,ADT108,TRANSFER PATIENT,172795,0.31%,Metadata,None,No matching concept,Undefined
4806641,Oxygen administration by nasal cannula,4155151,RT51,NASAL CANNULA OXYGEN- NO TITRATION (ADULT),172557,0.31%,Procedure,SNOMED,371907003,Procedure
2887028,CT of head and cervical spine with contrast,37016642,IMG2828,CT HEAD CERVICAL SPINE WO IV CONTRAST (BH YH YHC),169709,0.31%,Procedure,SNOMED,712727001,Procedure
5900520,Coronavirus vaccination,4236188,IMM207,COVID-19 MODERNA  12 YRS+  0.5ML,169147,0.3%,Procedure,SNOMED,90640007,Procedure
2809063,Consistent carbohydrate diet,763064,DIET16,DIET CONSISTENT CARBOHYDRATE,169052,0.3%,Procedure,SNOMED,435651000124106,Procedure
3070436,No matching concept,0,COD3,NO CODE,168091,0.3%,Metadata,None,No matching concept,Undefined
2309085,"Ultrasound, pregnant uterus, real time with image documentation, fetal and maternal evaluation, after first trimester (> or = 14 weeks 0 days), transabdominal approach; single or first gestation",2211749,IMG3278,US MFM PREG >14 WKS DETAIL SINGLE (PERI ONLY)(GH YH BH NE LM),165908,0.3%,Procedure,CPT4,76805,CPT4
2056870,No matching concept,0,REF12,AMB REFERRAL TO CARDIOVASCULAR DISEASE,165184,0.3%,Metadata,None,No matching concept,Undefined
1288058,Diabetic retinal eye exam,36716226,HM6,HM DIABETES EYE EXAM,164841,0.3%,Procedure,SNOMED,722161008,Procedure
5801539,Continuous ECG monitoring,4141651,NUR22548,TELEMETRY MONITORING-48 HOURS,163561,0.29%,Procedure,SNOMED,266706003,Procedure
9627731,"Computed tomographic angiography, chest (noncoronary), with contrast material(s), including noncontrast images, if performed, and image postprocessing",2211381,IMG3904,CTA PE (CHEST),163206,0.29%,Procedure,CPT4,71275,CPT4
8349001,"Interrogation device evaluation (in person) with analysis, review and report, includes connection, recording and disconnection per patient encounter, implantable cardiac contractility modulation system",42628040,CVR15,CARDIAC DEVICE INTERROGATION RESULT SCAN,162569,0.29%,Procedure,CPT4,0418T,CPT4
1546543,X-ray of left foot,4140442,IMG149,XR FOOT LEFT AP LATERAL AND OBLIQUE,162494,0.29%,Procedure,SNOMED,426908009,Procedure
2700406,"Myocardial perfusion imaging, tomographic (SPECT) (including attenuation correction, qualitative or quantitative wall motion, ejection fraction by first pass or gated technique, additional quantification, when performed); multiple studies, at rest and/or",40756833,NMC2996,NM MYOCARDIAL PERFUSION SPECT (STRESS AND REST) WITH REGADENOSON,161508,0.29%,Procedure,CPT4,78452,CPT4
6554204,Magnetic resonance imaging,4013636,IMGR02,MRI RESULT SCAN,161340,0.29%,Procedure,SNOMED,113091000,Procedure
7333131,No matching concept,0,LAB5426,SURGICAL CASE     (YH),158926,0.29%,Metadata,None,No matching concept,Undefined
6383322,US scan of bladder,4060629,NUR374,BLADDER SCAN,158189,0.28%,Procedure,SNOMED,169251004,Procedure
7902527,No matching concept,0,ADT9,ZZZRETIREDED ADMIT TO INPATIENT,158109,0.28%,Metadata,None,No matching concept,Undefined
1968982,Neurological assessment,4021179,NUR609,NEURO CHECKS,156553,0.28%,Procedure,SNOMED,225398001,Procedure
8355815,Mammography,4324693,HM1,HM MAMMOGRAPHY,154179,0.28%,Procedure,SNOMED,71651007,Procedure
6357055,No matching concept,0,REF57,AMB REFERRAL TO OPHTHALMOLOGY,153197,0.28%,Metadata,None,No matching concept,Undefined
