care_site_id,Department
1245,YNH PCC ADULT PSYCHIATRY
1914,GH ADOLESCENT CLINIC
2127,YM BONE CENTER
4317,BRIDGEPORT HEALTH CARE CENTER
39973,NE FM UNCASVILLE
1879,BH SHELTON CARDIAC SERVICES CS
3991,INTERNAL MEDICINE OF MILFORD
39921,FAIRFIELD MILL PLAIN TESTING SITE
1043,YNH YPH CB3 OBSERVATION
2671,NE GREENWICH RHEUMATOLOGY
41295,OPTHC BH WALTERSVILLE SBHC
1970,GH PALLIATIVE CARE CLINIC
18886,YNH PEDI CSC LONG WHARF
21661,LMH NEUROLOGY SERVICE
45150,NE GI FAIRFIELD 2000 POST RD
1820,BH PRIMARY CARE NEURO
41441,CSHH DENTAL DIXWELL Q HOUSE
4310,KINDRED AT HOME - STRATFORD
17989,NE BREAST SURGERY PARK AVE
1169,YNH CHILD PARTIAL HOSP PROG
2638,NE CENTER FOR GERIATRICS
38512,YHC YU PROSPECT - SACHEM
1417,YNH DRAW STATION SMILOW TORRINGTON
2143,YM OBGYN PERINATOLOGY NORWALK
3976,YNH PEDI RESPIRATORY OLD SAYBROOK
30011,CSHH TRIAGE AND INPATIENT DETOX SCRC
1019,SVC ELDER HORIZONS
27786,FAIR HAVEN ADDICTION MED EAST HAVEN
32050,SRC ENDOSCOPY
460,YNH PEDIATRIC SEDATION SERVICE
540,NATIONAL HEALTHCARE
2452,NE SMILOW SMOKING CESSATION
19121,YM NEURO EPILEPSY STAMFORD
18190,NE PERINATOLOGY US DEARFIELD
355,CASE MANAGEMENT
2194,YMG PEDI GUILFORD TREATMENT CENTER
2654,NE CS CARD SHELTON IVY BROOK RD
18317,QPTSM
29235,YM OBGYN GENERAL PARK AVE
31509,YM NEUROLOGY EEG FAIRFIELD
38152,NE BEHAVIORAL MED GALES FERRY
3867,YM OBGYN GENERAL BRANFORD
3880,YNH PEDI TRUMBULL RESPIRATORY
40457,BH PCC COVID RECOVERY CLINIC
44231,CSHH DENTAL WEST HAVEN HIGH SCHOOL
17995,LMMG DERM WESTERLY WELLS
32040,YNH FETAL CARE CENTER US
40627,GH COVID VACCINE FAIR NOBLE
611,YM PEDI ENDOCRINOLOGY
1412,YNHCH BH OBSERVATION
2347,YM CENTRAL BUSINESS OFFICE
24182,NE PM PODIATRY TRUMBULL XRAY
1841,BH AHLBIN CTR STRATFORD
30398,CSHH BH JOHN MARTINEZ SBHC
1688,BH PEDIATRIC ICU
2778,YHC CALL CENTER
663,APPLE REHAB MIDDLETOWN
21763,NE NEURO NEW LONDON
2133,YM RADIOLOGY AND BIOMEDICAL IMAGING
25026,YNH DENTAL XRAY
451,BH PULMONARY SERVICE
2124,YM SOUND OBGYN SHELTON
29296,YNH SMILOW PALLIATIVE TORRINGTON
1377,YNH PEDI GUILFORD ENDO
2105,YM SOUND OBGYN GUILFORD
2781,YHC XRAY
18578,BHCARE INC
34885,MC ANESTHESIA US
947,ROBERT D RUSSO ASSOCIATES
31271,YNH SMILOW MALIG HEME NORTH HAVEN
40450,BH POST DISCHARGE CLINIC
4030,YNH VASCULAR SURGERY OLD SAYBROOK
19214,YMG NEUROLOGY MOVEMENT DISORDER-GRNH INTERIM
30102,GH WEST PUTNAM LAB
32039,YNH FETAL CARE CENTER
39828,YM SURGERY BREAST CENTER GREENWICH
42554,SMILOW SUPPORTIVE CARE SERVICES
2302,YMG PEDI THYROID CLINIC
4313,GLASTONBURY HEALTH CARE CENTER
761,MERIDEN CENTER
29125,NE WALK IN STONINGTON
2465,NE GYN GUILFORD
24499,YNH PEDI DENTAL - LONG WHARF
39645,NE COVID VACCINE FAIR TRUMBULL
42185,YHC YU COLOR COVID-19 TESTING LABORATORY
879,BH HEMATOLOGY COST CENTER DEPARTMENT
27739,NE POD RYE OSBORN
30636,LMH WOUND CENTER CARDIOVASCULAR US
39976,YNH PEDI GENDER PROG OLD SAYBROOK
41719,YNH HOME RADIOLOGY
934,ENDOCRINOLOGY CENTER OF STAMFORD
2017,GH OCCUPATIONAL HEALTH SERVICES - STAMFORD
32029,GH MAYO
523,YNH QSITE CARDIOVASCULAR SPECIAL PROCEDURES COST CENTER DEPARTMENT
2528,NE SR REHAB
30346,CARE NAVIGATION
39833,BH PRIMARY CARE OB MEDICAL
952,PRIMED NAPOLITANO
3421,YNH PEDIATRIC SPECIALISTS - BERKWITS
881,BH IMMUNOLOGY COST CENTER DEPARTMENT
1563,SRC DR NUCLEAR MED
2657,NE PODIATRY CENTER - BRIDGEPORT
3568,NE PM OXFORD CARDIAC SERVICES
1481,YNH SMILOW SHARON
1758,BH MAIN PERIOPERATIVE SERVICES
2025,GH INTEGRATIVE MEDICINE
44398,YNH DIGESTIVE DISEASE AMB PROCEDURES
19721,ZZZWH EKG
38271,SLEEP AND NEUROSCIENCE ASSOC VALLEY DR
4063,OPTIMUS HEALTH CARE
4099,NORWICHTOWN REHABILITATION AND CARE CENTER
31340,GH LANGUAGE SERVICES
1725,BH PRIMARY CARE MEDICAL
19139,ZZZLMH WOUND CARE CENTER
30029,CSHH PODIATRY STATE ST
41407,YNH SOCIAL WORK DIGESTIVE MOB3
1231,YNH NEW HAVEN MAMMO
2434,YM OBGYN GENERAL SHELTON
27775,YNH SMILOW MELANOMA SURGERY
38148,YNH SMILOW HEAD & NECK MED ONC
40159,CSHH ELIGIBILITY & ENROLLMENT SARGENT DRIVE
39213,YNH PEDI SOCIAL WORK PARK STREET
31344,YM NEUROLOGY FAIRFIELD
42582,YM NEUROLOGY STROKE NEW LONDON
2085,YMG PEDI LW NEUROLOGY
29242,REHAB PATIENT RESOURCE CENTER
494,EPICCARE LINK EMR AUDITORS
45448,CENTRAL SCHEDULING - PEDI GYNECOLOGY
42594,YNH DIGESTIVE HEALTH WESTBROOK
1828,BH SOUTHPORT TESTING CENTER
2713,XXXFAIR HAVEN ADULT BELLA VISTA
40456,NE ORTHO SURG WESTPORT
664,APPLE REHAB ROCKY HILL
27143,BH REACH OUTPATIENT SERVICES
42952,CSHH ELIGIBILITY & ENROLLMENT 400 COLUMBUS
4285,THE PINES AT BRISTOL CENTER FOR HEALTH AND REHAB
2433,YM OBGYN MIDWIFERY CHESHIRE
22737,J&L MEDICAL SERVICES
42589,YNH INTEGRATIVE MEDICINE TORRINGTON
552,ORCHARD GROVE SPECIALTY CARE CENTER
2199,YMG PEDI GREENWICH HOSPITAL
31272,GH BEHAVIORAL HEALTH WOUND GREENWICH
35813,YNH SMILOW BREAST ONCOLOGY GUILFORD
445,BH PAIN SERVICE
2249,YM SURGERY COMM DISORDER NEW HAVEN
32038,YNH NP 12 ECC OVERFLOW
41554,FAIR HAVEN PHARMACY 374 GRAND AVE
1538,SRC EKG/EEG
4035,SRC NEWBORN SCHEDULING CLINIC
951,CBA SURGERY GROUP
3980,YNH REHAB OLD SAYBROOK
39806,FAIR HAVEN COVID VACCINE FAIR BELLA VISTA
21409,LMH BEHAVIORAL HEALTH THERAPIES
26629,NE XRAY RYEBROOK
38336,SNF MASS TESTING - GREENTREE MANOR
1910,GH BARIATRIC SURGERY PROGRAM
4118,NE GH HBO/WOUND CARE DEPARTMENT
30401,CSHH DENTAL HAMDEN HIGH SCHOOL SBHC
1276,YNH SURGERY TRANSPLANT CLINIC
3881,GH SMILOW SPECIALTY PHYSICIAN PROGRAM LAFAYETTE
4157,GH CASE MANAGEMENT
28933,GH DRAW STATION WILTON
641,VILLAGE GREEN OF WALLINGFORD
1355,YNH SMILOW PEDIATRIC INFUSION CENTER
3536,MASONICARE AT NEWTOWN
18610,YM SURGERY COLORECTAL TRUMBULL
22088,ST VINCENTS HEALTH PARTNERS
1166,YNH MURPHY SBHC
24359,SRC GENERAL SURGERY AND TRAUMA ORCHARD
39200,NE MOHEGAN FLU CLINIC
994,YNH NP 12 MEDICAL ONCOLOGY
1406,YNH DRAW STATION MILFORD BROAD ST
29875,GH NEUROLOGY EMG
41291,OPTHC BH FAIRCHILD SBHC
2351,YM RHEUMATOLOGY HAMDEN
4263,YNH SCCC OLD SAYBROOK LAB
21485,LMH PEQUOT CT SCAN
38554,YNH PEDI ENT LW NEW HAVEN
44021,GH MOOD ANXIETY PSYCH
1965,GH MED/ONC SCHEDULING DEPT
4169,YM NEUROSURGERY NEW LONDON
39579,MC AUDITORIUM IP OVERFLOW
40572,YNH COVID VACCINE FAIR MILL HILL AVE
2006,GH VALLEY DRIVE LABORATORY (ONC)
2511,NE CARDIAC SPECIALISTS DERBY
680,VISITING NURSE ASSOC OF SOUTH CENTRAL CT
41008,FAIR HAVEN PEDIATRICS SHORELINE
614,YM PEDI RESPIRATORY
43794,YM RHEUMATOLOGY RAPID ACCESS CLINIC
2487,NE DR PATRICIA LUCERI - HAMDEN
39216,NE PM GI FAIRFIELD KINGS HWY
39900,YHC SYMPTOMATIC TESTING
2189,YMG PEDI GI TEMPLE STREET
1506,SRC VERDI 3 OBSERVATION
18711,LMMG BEHAVIORAL MEDICINE OUTPATIENT
41754,FAIR HAVEN SBHC DENTAL BISHOP WOODS
1797,BH ONCOLOGY ASSOCIATES - FAIRFIELD
32037,YNH WP MRI
544,CONNECTICUT HOSPICE
1707,BH ANTENATAL TESTING UNIT
43965,FCHC BH GREENWICH HIGH SBHC
1011,YNH EKG
40897,YM OBGYN FAM PLAN 789 HOWARD
45395,FCHC BH BEDFORD STREET
674,NEWINGTON HEALTH CARE CENTER
1298,YNH HVC TRANSITION CARE
19987,YNH HVC OP GOOSE LANE GUILFORD
26380,YNH SMILOW SPEECH & SWALLOW
26627,YM PHOTOTHERAPY E MAIN BRANFORD
19852,STAMFORD HEALTH MEDICAL GROUP
44593,YALE NEW HAVEN URGENT CARE GROTON
1314,YNH PEDI HEM/ONC
19504,NE YNH PODIATRY
19991,YNH TXP LIVING DONOR CENTER
1801,BH FAIRFIELD CARDIAC SPECIALISTS
30471,YM SURGERY ENT GREENWICH
18465,BH INFECTION PREVENTION
1056,YNH CENTER FOR ADVANCED ENDO
3927,YM SURGERY BARIATRICS FAIRFIELD
43830,GH GERIATRIC ASSESSMENT PROGRAM 75 HOLLY HILL
654,DEPARTMENT OF VETERANS AFFAIRS FIRM A
1008,YNH HRU OUTPATIENT
29115,GH HEALTHY LIVING 500 W PUTNAM
1585,SRC EDITH JOHNSON SENIOR CENTER
44360,BH LACTATION PROGRAM
2721,SLEEP DISORDERS CENTER OF CT - MILFORD
40184,CSHH COVID VACCINE EVENT HAMDEN BOE
345,WOUND CONSULT
39398,FAIR HAVEN ADOLESCENT 150 SARGENT DRIVE
1291,YNH UROLOGY RESIDENTS
471,THE OSBORN
1617,SRC CARDIO HAMDEN
980,YNH EP 75 MEDICINE
30399,CSHH BH ANSONIA - ADULT
