measurement_id,concept_name,concept_id,frequency,percentage,unit_source_value,domain_id,vocabulary_id,concept_code,concept_class_id
6406675,"Alkaline phosphatase [Enzymatic activity/volume] in Serum, Plasma or Blood",46235077,3447033,4.36%,[U] L,Measurement,LOINC,77141-0,Lab Test
9642633,"Glomerular filtration rate/1.73 sq M.predicted among blacks [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (MDRD)",3053283,3439766,4.35%,mL min 1.73.m2,Measurement,LOINC,48643-1,Lab Test
6264242,Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum or Plasma by Creatinine-based formula (MDRD),3030354,3439766,4.35%,mL min 1.73.m2,Measurement,LOINC,33914-3,Lab Test
6491727,Lymphocytes [#/volume] in Blood by Automated count,3004327,3378745,4.27%,10*3 uL,Measurement,LOINC,731-0,Lab Test
4664204,Monocytes [#/volume] in Blood by Automated count,3033575,3355372,4.24%,10*3 uL,Measurement,LOINC,742-7,Lab Test
9470265,Basophils [#/volume] in Blood by Automated count,3013429,3355357,4.24%,10*3 uL,Measurement,LOINC,704-7,Lab Test
6107267,Eosinophils [#/volume] in Blood by Automated count,3028615,3355303,4.24%,10*3 uL,Measurement,LOINC,711-2,Lab Test
5887285,Immature granulocytes [#/volume] in Blood by Automated count,3041084,3354413,4.24%,10*3 uL,Measurement,LOINC,53115-2,Lab Test
6227125,Neutrophils/100 leukocytes in Blood,3018010,3291505,4.16%,%,Measurement,LOINC,26511-6,Lab Test
7547696,Globulin [Mass/volume] in Plasma,3010568,3262012,4.12%,g dL,Measurement,LOINC,13536-8,Lab Test
3991946,Monocytes/100 leukocytes in Blood,3019069,3184953,4.03%,%,Measurement,LOINC,26485-3,Lab Test
9026007,MCHC [Mass/volume] by Automated count,3009744,3108069,3.93%,%,Measurement,LOINC,786-4,Lab Test
1252253,Hematocrit [Volume Fraction] of Blood by Automated count,3023314,3102418,3.92%,%,Measurement,LOINC,4544-3,Lab Test
3347346,Erythrocytes [#/volume] in Blood by Automated count,3020416,2968592,3.75%,10*6 uL,Measurement,LOINC,789-8,Lab Test
7543329,Neutrophils [#/volume] in Blood by Automated count,3013650,2877349,3.64%,10*3 uL,Measurement,LOINC,751-8,Lab Test
6417718,Nucleated erythrocytes [#/volume] in Blood by Automated count,3007238,2876413,3.64%,10*3 uL,Measurement,LOINC,771-6,Lab Test
6245408,SARS-CoV-2 (COVID-19) RNA [Presence] in Respiratory specimen by NAA with probe detection,706163,2837678,3.59%,"",Measurement,LOINC,94500-6,Lab Test
1320289,Monocytes [#/volume] in Blood by Automated count,3033575,2761890,3.49%,10*3 uL,Measurement,LOINC,742-7,Lab Test
5087997,Eosinophils/100 leukocytes in Blood by Automated count,3010457,2756359,3.48%,10*3 uL,Measurement,LOINC,713-8,Lab Test
9183279,Lymphocytes [#/volume] in Blood by Automated count,3004327,2755950,3.48%,10*3 uL,Measurement,LOINC,731-0,Lab Test
4191490,Basophils [#/volume] in Blood by Automated count,3013429,2755909,3.48%,10*3 uL,Measurement,LOINC,704-7,Lab Test
1979128,Immature granulocytes [#/volume] in Blood by Automated count,3041084,2755892,3.48%,10*3 uL,Measurement,LOINC,53115-2,Lab Test
5134651,Q-T interval corrected,3026258,2652301,3.35%,ms,Measurement,LOINC,8636-3,Clinical Observation
9590627,Chlamydia trachomatis DNA [Presence] in Urine by NAA with probe detection,3024950,2652288,3.35%,deg,Measurement,LOINC,6357-8,Lab Test
2236965,QRS duration,3022022,2652058,3.35%,ms,Measurement,LOINC,8633-0,Clinical Observation
9397324,Q-T interval,3025809,2651971,3.35%,ms,Measurement,LOINC,8634-8,Clinical Observation
1693647,T wave axis,3027358,2650200,3.35%,deg,Measurement,LOINC,8638-9,Clinical Observation
8403325,P-R Interval,3007794,2629787,3.32%,ms,Measurement,LOINC,8625-6,Clinical Observation
4417270,P wave axis,3006698,2628349,3.32%,deg,Measurement,LOINC,8626-4,Clinical Observation
2799004,"Glomerular filtration rate/1.73 sq M.predicted among blacks [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (MDRD)",3053283,2593769,3.28%,mL min 1.73.m2,Measurement,LOINC,48643-1,Lab Test
2775580,Hemoglobin [Mass/volume] in Blood,3000963,2586906,3.27%,g dL,Measurement,LOINC,718-7,Lab Test
1498148,Percentage change in weight,4093980,2580216,3.26%,"",Measurement,SNOMED,248347000,Observable Entity
2449333,Nucleated erythrocytes [#/volume] in Blood by Automated count,3007238,2570159,3.25%,10*3 uL,Measurement,LOINC,771-6,Lab Test
5868824,"Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (CKD-EPI)",40764999,2561103,3.24%,mL min 1.73.m2,Measurement,LOINC,62238-1,Lab Test
6314029,Hematocrit [Volume Fraction] of Blood,3009542,2434500,3.08%,%,Measurement,LOINC,20570-8,Lab Test
3934744,Anion gap in Blood,3039000,2334668,2.95%,mmol L,Measurement,LOINC,41276-7,Lab Test
6816586,Albumin [Mass/volume] in Serum or Plasma,3024561,2322845,2.94%,g dL,Measurement,LOINC,1751-7,Lab Test
1608183,Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum or Plasma by Creatinine-based formula (MDRD),3030354,2226730,2.81%,mL min 1.73.m2,Measurement,LOINC,33914-3,Lab Test
2160920,Tidal volume,4029625,2156501,2.73%,"",Measurement,SNOMED,13621006,Observable Entity
5824088,Nitrite [Presence] in Urine by Automated test strip,3030758,2114036,2.67%,"",Measurement,LOINC,50558-6,Lab Test
7012005,Specific gravity of Urine by Refractometry automated,3029991,2113990,2.67%,"",Measurement,LOINC,50562-8,Lab Test
4796197,pH of Urine by Automated test strip,3029305,2113962,2.67%,"",Measurement,LOINC,50560-2,Lab Test
5494641,Friction and shear Braden scale,3037347,2082694,2.63%,"",Measurement,LOINC,38226-7,Clinical Observation
6886331,Clarity in Urine by Refractometry automated,3029709,2071836,2.62%,"",Measurement,LOINC,50552-9,Lab Test
7481965,Color of Urine by Auto,3029925,2071822,2.62%,"",Measurement,LOINC,50553-7,Lab Test
1926512,Braden pressure ulcer risk score,40481487,2071790,2.62%,"",Measurement,SNOMED,443428004,Observable Entity
4186842,Percentage change in weight,4093980,2049162,2.59%,%,Measurement,SNOMED,248347000,Observable Entity
2655775,Hemoglobin [Presence] in Urine by Automated test strip,40760861,2048368,2.59%,"",Measurement,LOINC,57751-0,Lab Test
2253722,Triglyceride [Mass/volume] in Serum or Plasma,3022192,1946570,2.46%,mg dL,Measurement,LOINC,2571-8,Lab Test
1054107,Cholesterol in HDL [Mass/volume] in Serum or Plasma,3007070,1926320,2.44%,mg dL,Measurement,LOINC,2085-9,Lab Test
6062423,Leukocytes [#/volume] in Urine by Test strip,3014749,1903683,2.41%,"",Measurement,LOINC,20408-1,Lab Test
6777528,Ketones [Mass/volume] in Urine by Automated test strip,3030173,1877064,2.37%,"",Measurement,LOINC,50557-8,Lab Test
6272684,Protein [Mass/volume] in Urine by Automated test strip,3029872,1876945,2.37%,"",Measurement,LOINC,50561-0,Lab Test
7600232,Bilirubin.total [Presence] in Urine by Automated test strip,3030477,1858589,2.35%,"",Measurement,LOINC,50551-1,Lab Test
8729409,Glucose [Mass/volume] in Urine by Automated test strip,3039896,1852184,2.34%,"",Measurement,LOINC,53328-1,Lab Test
7881904,Lymphocytes/100 leukocytes in Blood,3002030,1833887,2.32%,%,Measurement,LOINC,26478-8,Lab Test
6751399,Eosinophils/100 leukocytes in Blood,3006504,1832406,2.32%,%,Measurement,LOINC,26450-7,Lab Test
5596279,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma,3013721,1832239,2.32%,[U] L,Measurement,LOINC,1920-8,Lab Test
2541211,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma by No addition of P-5'-P,3027388,1832203,2.32%,[U] L,Measurement,LOINC,1744-2,Lab Test
5680667,Basophils/100 leukocytes in Blood,3022096,1825647,2.31%,%,Measurement,LOINC,30180-4,Lab Test
3265909,Neutrophils [#/volume] in Blood by Automated count,3013650,1813682,2.29%,10*3 uL,Measurement,LOINC,751-8,Lab Test
8084656,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma by No addition of P-5'-P,3027388,1781677,2.25%,[U] L,Measurement,LOINC,1744-2,Lab Test
5035063,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma,3013721,1778681,2.25%,[U] L,Measurement,LOINC,1920-8,Lab Test
5855589,Triglyceride [Mass/volume] in Serum or Plasma,3022192,1754947,2.22%,mg dL,Measurement,LOINC,2571-8,Lab Test
6995897,Cholesterol [Mass/volume] in Serum or Plasma,3027114,1709628,2.16%,mg dL,Measurement,LOINC,2093-3,Lab Test
6021044,Neutrophils [#/volume] in Blood,3017732,1704919,2.16%,{cells} uL,Measurement,LOINC,26499-4,Lab Test
9161765,Hematocrit [Volume Fraction] of Blood by Automated count,3023314,1703144,2.15%,"",Measurement,LOINC,4544-3,Lab Test
5499829,Hemoglobin [Mass/volume] in Blood,3000963,1703115,2.15%,g dL,Measurement,LOINC,718-7,Lab Test
6193167,Cholesterol in HDL [Mass/volume] in Serum or Plasma,3007070,1700586,2.15%,mg dL,Measurement,LOINC,2085-9,Lab Test
4892935,Protein [Mass/volume] in Serum or Plasma,3020630,1699538,2.15%,g dL,Measurement,LOINC,2885-2,Lab Test
5700066,Cholesterol.total/Cholesterol in HDL [Mass Ratio] in Serum or Plasma,3011163,1621676,2.05%,{calc},Measurement,LOINC,9830-1,Lab Test
6618478,Lymphocytes/100 leukocytes in Blood,3002030,1620163,2.05%,%,Measurement,LOINC,26478-8,Lab Test
9119371,Thyrotropin [Units/volume] in Serum or Plasma by Detection limit <= 0.005 mIU/L,3019170,1606801,2.03%,10*-6.[U] mL,Measurement,LOINC,11580-8,Lab Test
4597596,Heart rate.beat-to-beat by EKG,21490872,1604876,2.03%,{beats} min,Measurement,LOINC,76282-3,Clinical Observation
8958136,No matching concept,0,1602677,2.03%,"",Metadata,None,No matching concept,Undefined
5756826,Albumin/Globulin [Mass Ratio] in Serum or Plasma,3020509,1597736,2.02%,"",Measurement,LOINC,1759-0,Lab Test
4530647,Albumin/Globulin [Mass Ratio] in Serum or Plasma,3020509,1597307,2.02%,{calc},Measurement,LOINC,1759-0,Lab Test
9931049,HOSPITAL readmission risk score,37016720,1595892,2.02%,"",Measurement,SNOMED,712825001,Staging / Scales
4850601,Lymphocytes [#/volume] in Blood by Automated count,3004327,1591542,2.01%,{cells} uL,Measurement,LOINC,731-0,Lab Test
2193718,Eosinophils [#/volume] in Blood by Automated count,3028615,1581443,2.0%,{cells} uL,Measurement,LOINC,711-2,Lab Test
4748577,Monocytes [#/volume] in Blood by Automated count,3033575,1575318,1.99%,{cells} uL,Measurement,LOINC,742-7,Lab Test
8765646,Basophils [#/volume] in Blood by Automated count,3013429,1568141,1.98%,{cells} uL,Measurement,LOINC,704-7,Lab Test
9530436,Neutrophils [#/volume] in Blood,3017732,1555451,1.97%,10*3 uL,Measurement,LOINC,26499-4,Lab Test
4975384,Heart rate by Pulse oximetry,3001376,1506730,1.9%,"",Measurement,LOINC,8889-8,Clinical Observation
3542098,XR Chest Single view,3049950,1489465,1.88%,"",Procedure,LOINC,36554-4,Clinical Observation
4614420,Basophils/100 leukocytes in Blood,3022096,1485028,1.88%,%,Measurement,LOINC,30180-4,Lab Test
2030836,Heart rate by Pulse oximetry,3001376,1474895,1.86%,"",Measurement,LOINC,8889-8,Clinical Observation
1623999,EKG impression,3020019,1472657,1.86%,severity,Measurement,LOINC,8601-7,Clinical Observation
6244066,XR Chest PA and Lateral,3031526,1446668,1.83%,"",Procedure,LOINC,42272-5,Clinical Observation
4933946,Cholesterol in LDL [Mass/volume] in Serum or Plasma by Direct assay,3009966,1441889,1.82%,mg dL,Measurement,LOINC,18262-6,Lab Test
3544700,Urine volume,37397937,1436252,1.82%,mL,Measurement,SNOMED,993701000000102,Observable Entity
6070202,Method for measuring height,4172033,1434171,1.81%,"",Measurement,SNOMED,422769007,Observable Entity
1550330,Bilirubin.total [Mass/volume] in Serum or Plasma,3024128,1426260,1.8%,mg dL,Measurement,LOINC,1975-2,Lab Test
2285159,Fresh gas.oxygen flow Gas delivery system,21490718,1425587,1.8%,"",Measurement,LOINC,75925-8,Clinical Observation
2889728,Non-invasive blood pressure,36716965,1423390,1.8%,"",Measurement,SNOMED,723237002,Observable Entity
2354432,Magnesium [Mass/volume] in Serum or Plasma,3001420,1420518,1.8%,mg dL,Measurement,LOINC,19123-9,Lab Test
3655247,Mean blood pressure,4239021,1417119,1.79%,"",Measurement,SNOMED,6797001,Observable Entity
4483047,Eosinophils/100 leukocytes in Blood,3006504,1409915,1.78%,%,Measurement,LOINC,26450-7,Lab Test
6617150,No matching concept,0,1403397,1.77%,"",Metadata,None,No matching concept,Undefined
5256339,No matching concept,0,1402982,1.77%,"",Metadata,None,No matching concept,Undefined
2848434,Rothman Index Calculated,36203395,1392777,1.76%,"",Measurement,LOINC,85556-9,Clinical Observation
3521640,Rothman Index Calculated,36203395,1392063,1.76%,"",Measurement,LOINC,85556-9,Clinical Observation
8375926,Heart rate,3027018,1382615,1.75%,{beats} min,Measurement,LOINC,8867-4,Clinical Observation
4528747,Cholesterol [Mass/volume] in Serum or Plasma,3027114,1381106,1.75%,mg dL,Measurement,LOINC,2093-3,Lab Test
8320541,Arterial oxygen saturation,40483579,1362985,1.72%,"",Measurement,SNOMED,442476006,Observable Entity
8428261,Cholesterol non HDL [Mass/volume] in Serum or Plasma,3044491,1354676,1.71%,mg dL,Measurement,LOINC,43396-1,Lab Test
1088344,Urine observable,4271759,1347423,1.7%,"",Measurement,SNOMED,364687002,Observable Entity
2955174,Cholesterol.total/Cholesterol in HDL [Mass Ratio] in Serum or Plasma,3011163,1330338,1.68%,"",Measurement,LOINC,9830-1,Lab Test
5118498,Post Anesthetic Recovery score,37204084,1316300,1.66%,"",Measurement,SNOMED,787475007,Observable Entity
8708701,Bilirubin.total [Mass/volume] in Serum or Plasma,3024128,1260864,1.59%,mg dL,Measurement,LOINC,1975-2,Lab Test
8956057,Hemoglobin A1c/Hemoglobin.total in Blood,3004410,1256362,1.59%,%,Measurement,LOINC,4548-4,Lab Test
8466465,Skin integrity,21492838,1253105,1.58%,"",Measurement,LOINC,80344-5,Clinical Observation
2038794,Ventilation mode Ventilator,3004921,1219972,1.54%,"",Measurement,LOINC,20124-4,Clinical Observation
8023921,Anion gap 3 in Serum or Plasma,3021391,1214612,1.54%,mmol L,Measurement,LOINC,10466-1,Lab Test
2960118,Lymphocytes [#/volume] in Blood,3019198,1208952,1.53%,10*3 uL,Measurement,LOINC,26474-7,Lab Test
9439233,Prothrombin time (PT),3034426,1207246,1.53%,s,Measurement,LOINC,5902-2,Lab Test
3825230,Nitrate [Presence] in Urine,3006462,1194092,1.51%,"",Measurement,LOINC,32030-9,Lab Test
4863239,Erythrocytes [Presence] in Urine,3045424,1194080,1.51%,"",Measurement,LOINC,33051-4,Lab Test
2364195,Protein [Presence] in Urine,3037185,1194078,1.51%,"",Measurement,LOINC,2887-8,Lab Test
5690360,Specific gravity of Urine,3033543,1194077,1.51%,"",Measurement,LOINC,2965-2,Lab Test
6685407,Glucose [Mass/volume] in Urine,3020399,1194074,1.51%,"",Measurement,LOINC,2350-7,Lab Test
3811459,Ketones [Presence] in Urine by Test strip,3035350,1194071,1.51%,"",Measurement,LOINC,2514-8,Lab Test
8232528,Leukocytes [Presence] in Urine,3045414,1194067,1.51%,"",Measurement,LOINC,33052-2,Lab Test
2523800,Color of Urine,3027162,1194061,1.51%,"",Measurement,LOINC,5778-6,Lab Test
1582344,Respiratory rate,4313591,1192881,1.51%,"",Measurement,SNOMED,86290005,Observable Entity
6025608,Delivered oxygen flow rate,4141684,1163797,1.47%,L min,Measurement,SNOMED,427081008,Observable Entity
2603092,Glasgow coma score verbal,3009094,1142245,1.44%,"",Measurement,LOINC,9270-0,Clinical Observation
4427783,Glucose [Presence] in Urine,3020650,1139745,1.44%,mg dL,Measurement,LOINC,2349-9,Lab Test
9750754,Glasgow coma score eye opening,3016335,1139376,1.44%,"",Measurement,LOINC,9267-6,Clinical Observation
8052775,Ketones [Presence] in Urine,3028893,1138014,1.44%,mg dL,Measurement,LOINC,33903-6,Lab Test
9541977,No matching concept,0,1135777,1.44%,"",Metadata,None,No matching concept,Undefined
3009915,Nitrite [Presence] in Urine,3042812,1135059,1.43%,"",Measurement,LOINC,32710-6,Lab Test
1378266,Glasgow coma score motor,3008223,1129267,1.43%,"",Measurement,LOINC,9268-4,Clinical Observation
9112795,Leukocyte esterase [Presence] in Urine by Test strip,3000348,1128135,1.43%,"",Measurement,LOINC,5799-2,Lab Test
4551788,Glasgow coma scale,4296538,1125501,1.42%,"",Measurement,SNOMED,386554004,Staging / Scales
1453961,MCHC [Mass/volume],3003338,1125049,1.42%,g dL,Measurement,LOINC,28540-3,Lab Test
5061775,Heart rate rhythm,3022318,1106278,1.4%,"",Measurement,LOINC,8884-9,Clinical Observation
8172466,Glucose [Mass/volume] in Capillary blood by Glucometer,3034962,1101634,1.39%,mg dL,Measurement,LOINC,41653-7,Lab Test
1241080,Blood group antibody screen [Presence] in Serum or Plasma,3001079,1100691,1.39%,"",Measurement,LOINC,890-4,Lab Test
3550729,Rh [Type] in Blood,3003310,1100686,1.39%,"",Measurement,LOINC,10331-7,Lab Test
2422233,Charlson Comorbidity Index,42538860,1098074,1.39%,"",Measurement,SNOMED,762713009,Staging / Scales
7271907,Karnofsky performance status,4169154,1094406,1.38%,"",Measurement,SNOMED,273546003,Staging / Scales
9677859,Urobilinogen [Mass/volume] in Urine by Test strip,3037072,1092226,1.38%,[EU] dL,Measurement,LOINC,20405-7,Lab Test
