procedure_id,concept_name,concept_id,code,procedure_code,procedure_description,frequency,percentage,domain_id,vocabulary_id,concept_code,concept_class_id
4623195,No matching concept,0,ADA,D2930,PR  PRFABR STAINLESS STEEL CROWN-PRIM,17817,0.02%,Metadata,None,No matching concept,Undefined
2477159,No matching concept,0,ADA,D0210,PR  INTRAORAL-CMPL SER RADIOGRAPH IMAGS,16457,0.02%,Metadata,None,No matching concept,Undefined
2439033,No matching concept,0,ADA,D9230,PR  INHAL NITROUS OXID/ANALG ANXIOLYSIS,16229,0.02%,Metadata,None,No matching concept,Undefined
4568013,No matching concept,0,ADA,D9420,PR  HOSPITAL OR AMB SURG CENTER CALL,11304,0.01%,Metadata,None,No matching concept,Undefined
9300974,"Restoration, resin, one surface, anterior",4146885,ADA,D2330,RESIN-BASED COMPOSITE ONE SURF ANT,10957,0.01%,Procedure,SNOMED,30122005,Procedure
9987408,No matching concept,0,ADA,D9995,PR TELEDENTISTRY GÇÔ SYNCHRONOUS; REAL-TIME ENCOUNTER,10857,0.01%,Metadata,None,No matching concept,Undefined
2852511,"Restoration, composite resin crown, anterior, primary",4187919,ADA,D2331,RESIN-BASED COMPOSITE 2 SURFACE ANT,10810,0.01%,Procedure,SNOMED,46305007,Procedure
8890296,Preventive resin restoration in a moderate to high caries risk patient - permane,40218722,ADA,D1354,PR INTERIM CARIES ARRESTING MED APPLIC,9786,0.01%,Procedure,HCPCS,D1352,HCPCS
6486625,No matching concept,0,ADA,D2393,RESIN COMPOS - 3 SURFACES POSTERIOR,9727,0.01%,Metadata,None,No matching concept,Undefined
9867939,Application of topical fluoride varnish by a physician or other qualified health care professional,46257535,ADA,D1208,PR TOPICAL APPLICATION OF FLUORIDE,8749,0.01%,Procedure,CPT4,99188,CPT4
4163253,No matching concept,0,ADA,D0602,PR CARIES RISK ASSESS DOC FIND MOD RSK,6973,0.01%,Metadata,None,No matching concept,Undefined
5930552,No matching concept,0,ADA,D0240,PR  INTRAORAL-OCCLUSAL RADIOGRAPH IMAGE,6361,0.01%,Metadata,None,No matching concept,Undefined
4541906,No matching concept,0,ADA,D9223,PR DEEP SEDATION/GENERL ANES-EA 15 MIN,5976,0.01%,Metadata,None,No matching concept,Undefined
9232440,Complete upper denture,4241351,ADA,D5110,PR  COMPLETE DENTURE - MAXILLARY,5136,0.01%,Procedure,SNOMED,58113002,Procedure
6699409,"Periodontal scaling and root planing, per quadrant",4146377,ADA,D4341,PR  PRDNTL SCAL&ROOT PLAN 4/>TEETH-QUAD,5044,0.01%,Procedure,SNOMED,346004,Procedure
3644950,No matching concept,0,ADA,D0601,PR CARIES RISK ASSESS DOC FIND LOW RSK,5039,0.01%,Metadata,None,No matching concept,Undefined
6215848,No matching concept,0,ADA,D0603,PR CARIES RISK ASSESS DOC FIND HI RSK,4983,0.01%,Metadata,None,No matching concept,Undefined
5179962,Removable prosthodontic procedure,4095029,ADA,D5899,PR  UNS REMV PROSTHODONTIC PROC RPT,4891,0.01%,Procedure,SNOMED,25051003,Procedure
8037235,"Restoration, resin, three surfaces, anterior",4262246,ADA,D2332,RESIN-BASED COMPOSITE 3 SURFACE ANT,4654,0.01%,Procedure,SNOMED,46069009,Procedure
2971123,Dental X-ray bitewing,4081551,ADA,D0270,PR  BITEWING - SINGLE RADIOGRAPHC IMAGE,4275,0.01%,Procedure,SNOMED,241046008,Procedure
1565420,DEEP SEDATION/GENERAL ANESTHESIA-FIRST 30 MINUTES,40661568,ADA,D9222,PR DEEP SEDATION/GENERAL ANESTHESIA - FIRST 15 MINUTES,4064,0.01%,Procedure,HCPCS,D9220,HCPCS
6488105,"Removal of impacted tooth, partially bony",4283661,ADA,D7230,REMOVAL IMPACT TOOTH - PARTLY BONY,3971,0.01%,Procedure,SNOMED,66648003,Procedure
1529810,"Restorations resin, four or more surfaces or involving anterior incisal angle",4251029,ADA,D2335,RESIN COMP 4/> SURF INCISAL ANGLE,3926,0.01%,Procedure,SNOMED,74168006,Procedure
2074104,Surgical removal of erupted tooth requiring elevation of mucoperiosteal flap and removal of bone and/or section of tooth,4287086,ADA,D7210,EXTN ERU TT RQR REMV BONE &/SECT TT,3317,0.0%,Procedure,SNOMED,68381003,Procedure
7449019,"","",ADA,D5120,PR  COMPLETE DENTURE - MANDIBULAR,3152,0.0%,"","","",""
3432582,"Removal of impacted tooth, completely bony",4058744,ADA,D7240,REMOVAL IMPACTED TOOTH - CMPL BONY,3129,0.0%,Procedure,SNOMED,16841009,Procedure
3793901,"","",ADA,D5212,PR  MANDIB PARTIAL DENTURE RESIN BASE,2734,0.0%,"","","",""
6519201,"Amalgam restoration, two surfaces, primary",4211672,ADA,D2150,AMALGAM-TWO SURFACES PRIMARY/PERM,2732,0.0%,Procedure,SNOMED,57084002,Procedure
4896179,"","",ADA,D5211,PR  MAXILLARY PARTIAL DENTURE RESIN BASE,2641,0.0%,"","","",""
9475908,Amalgam one surface primary,40218723,ADA,D2140,AMALGAM-ONE SURFACE PRIMARY/PERM,2506,0.0%,Procedure,HCPCS,D2110,HCPCS
8028422,"","",ADA,D2751,CROWN-PORCELN FUSD PREDOM BASE METL,2493,0.0%,"","","",""
2939272,"","",ADA,D5214,PR  MAND PART DENTUR- CAST METL W/RSN,2350,0.0%,"","","",""
8287916,Abutment placement or substitution: endosteal implant,40217758,ADA,D6010,PR  SURG PLCMT IMPL BODY: ENDOSTEAL,2102,0.0%,Procedure,HCPCS,D6020,HCPCS
6832510,"","",ADA,D5213,PR  MAX PART DENTUR-CAST METL W/RSN,2092,0.0%,"","","",""
2273172,Restoration of tooth,4071006,ADA,D2940,PR  PLACEMENT OF INTERIM DIRECT RESTORATION,2060,0.0%,Procedure,SNOMED,173307000,Procedure
9510629,"","",ADA,D7286,PR  BIOPSY OF ORAL TISSUE  SOFT,1891,0.0%,"","","",""
6672868,"","",ADA,D2791,CROWN - FULL CAST PREDOM BASE METL,1886,0.0%,"","","",""
4872282,No matching concept,0,ADA,D3220,PR  TX PULPOT-CORONL DENTNOCEMENTL JUNC,1828,0.0%,Metadata,None,No matching concept,Undefined
9907271,"","",ADA,D9944,"PR OCCLUSAL GUARD - HARD APPLIANCE, FULL ARCH",1819,0.0%,"","","",""
1153897,No matching concept,0,ADA,D2934,PR  PREFB ESTHET COAT STNLSS STEEL CRWN,1723,0.0%,Metadata,None,No matching concept,Undefined
9649728,"","",ADA,D2394,RESIN COMPOS - 4/MORE SURFACES POST,1655,0.0%,"","","",""
5108293,"","",ADA,D2950,PR  CORE BUILDUP INCL PINS WHEN REQUIRE,1537,0.0%,"","","",""
6740524,"","",ADA,D9430,PR  OV OBS - NO OTH SERVICES PERFORMED,1402,0.0%,"","","",""
5875317,"","",ADA,D4342,PR  PRDONTAL SCAL&ROOT PLAN 1-3 TEETH,1328,0.0%,"","","",""
5618176,"","",ADA,D3330,PR  ENDODONTIC THERAPY MOLAR,1295,0.0%,"","","",""
7445316,"","",ADA,D3310,PR  ENDODONTIC THERAPY ANTERIOR TOOTH,1262,0.0%,"","","",""
8990359,"","",ADA,D4910,PR  PERIODONTAL MAINTENANCE,1218,0.0%,"","","",""
6209801,"","",ADA,D2740,PR  CROWN - PORCELAIN/CERAMIC SUBSTRATE,1198,0.0%,"","","",""
3485298,"","",ADA,D9430,PR  OV OBS - NO OTH SERVICES PERFORMED,1074,0.0%,"","","",""
7077828,"","",ADA,D3320,PR  ENDODONTIC THERAPY BICUSPID TOOTH,1059,0.0%,"","","",""
1823790,"","",ADA,D7111,XTRCT CORONL RMNNTS DECIDUOUS TOOTH,1002,0.0%,"","","",""
6729815,"","",ADA,D6057,CUSTOM FAB ABUTMENT-INCL PLACEMENT,970,0.0%,"","","",""
5869391,"","",ADA,D7220,REMOVAL IMPACT TOOTH - SOFT TISSUE,903,0.0%,"","","",""
1824475,"","",ADA,D2160,AMALGAM-3 SURFACES PRIMARY/PERM,855,0.0%,"","","",""
9912069,"","",ADA,D7953,PR  BONE REPLCMT GRAFT RIDGE PRES -SITE,794,0.0%,"","","",""
4746408,"","",ADA,D0180,PR  COMP PERIODONTAL EVAL - NEW/EST PT,704,0.0%,"","","",""
9116912,"","",ADA,D1330,PR  ORAL HYGIENE INSTRUCTIONS,703,0.0%,"","","",""
8967672,"","",ADA,D2999,PR  UNSPEC RESTORATIVE PROC BY REPORT,693,0.0%,"","","",""
1647193,"","",ADA,D7310,PR  ALVEOLOPLASTY W/EXT 4/> TEETH/SPACE,672,0.0%,"","","",""
1779597,"","",ADA,D5650,PR  ADD TOOTH EXISTING PARTIAL DENTURE - PER TOOTH,669,0.0%,"","","",""
4569669,"","",ADA,D2954,PR  PREFABR POST&CORE ADDITION CROWN,667,0.0%,"","","",""
1377476,"","",ADA,D7250,REMOVAL OF RESIDUAL TOOTH ROOTS,655,0.0%,"","","",""
6564494,"","",ADA,D1310,PR  NUTRITION COUNSEL CONTROL DENTAL DZ,645,0.0%,"","","",""
4013199,"","",ADA,D5820,PR  INTERIM PARTIAL DENTURE MAXILLARY,610,0.0%,"","","",""
2796857,"","",ADA,D6065,IMPLANT SUPP PORCELN/CERAMIC CROWN,547,0.0%,"","","",""
9262542,"","",ADA,D4999,PR  UNSPEC PERIODONTAL PROCEDURE REPORT,493,0.0%,"","","",""
1409302,"","",ADA,D7320,PR  ALVEOLOPLASTY NO EXT 4/> TEETH/SPAC,459,0.0%,"","","",""
2770586,"","",ADA,D6245,PR  PONTIC - PORCELAIN/CERAMIC,455,0.0%,"","","",""
3846258,"","",ADA,D9999,PR  UNS ADJUNCTIVE PROCEDURE REPORT,433,0.0%,"","","",""
3881082,"","",ADA,D8080,PR  COMP ORTHODONT TX ADOLES DENTITION,433,0.0%,"","","",""
6521128,"","",ADA,D7285,PR  BIOPSY OF ORAL TISSUE HARD,421,0.0%,"","","",""
2817696,"","",ADA,D5225,PR  MAXILLARY PARTIAL DENTURE FLEX BASE,419,0.0%,"","","",""
9568589,"","",ADA,D1510,PR  SPACE MAINTAINER - DISTAL FIXED-UNILATERAL,418,0.0%,"","","",""
6998661,"","",ADA,D5750,PR  RELINE CMPL MAXIL DENTURE LAB,405,0.0%,"","","",""
1164521,"","",ADA,D6240,PR  PONTIC-PORCELN FUSED HI NOBLE METL,392,0.0%,"","","",""
7277041,"","",ADA,D2931,PR  PRFABR STAINLESS STEEL CROWN-PERM,392,0.0%,"","","",""
5330335,"","",ADA,D5226,PR  MANDIBULAR PART DENTURE FLEX BASE,375,0.0%,"","","",""
4660790,"","",ADA,D2929,PR PREFAB PORC/CERAMC CROWN-PRIM TOOTH,373,0.0%,"","","",""
6110912,"","",ADA,D6241,PR  PONTIC-PORCLN FUSD PREDOM BASE METL,357,0.0%,"","","",""
7226048,"","",ADA,D4355,PR  FULL MOUTH DEBRID COMP EVAL&DX,353,0.0%,"","","",""
2648976,"","",ADA,D6751,PR  RET CROWN-PORC FUSED PDMT BASE METL,347,0.0%,"","","",""
5737059,"","",ADA,D9248,PR  NON-INTRAVENOUS CONSCIOUS SEDATION,346,0.0%,"","","",""
8299589,"","",ADA,D0190,PR SCREENING OF A PATIENT,337,0.0%,"","","",""
1623784,"","",ADA,D7280,PR  EXPOSURE OF AN UNERUPTED TOOTH,335,0.0%,"","","",""
9068288,"","",ADA,D3428,PR BONE GRAFT PERIRADICULR SURG 1 SITE,329,0.0%,"","","",""
4785582,"","",ADA,D6104,PR BONE GRAFT TIME IMPLANT PLACEMENT,326,0.0%,"","","",""
3532634,"","",ADA,D0171,PR RE-EVALUATION-POST-OP OFFICE VISIT,326,0.0%,"","","",""
5699292,"","",ADA,D6999,PR  UNSPEC FIX PROSTHODONTIC PROC BR,301,0.0%,"","","",""
4209665,"","",ADA,D6011,PR SECOND STAGE IMPLANT SURGERY,294,0.0%,"","","",""
8726717,"","",ADA,D3110,PR  PULP CAP - DIRECT,290,0.0%,"","","",""
2704190,"","",ADA,D9940,PR  OCCLUSAL GUARD BY REPORT,289,0.0%,"","","",""
7398368,"","",ADA,D3120,PR  PULP CAP - INDIRECT,285,0.0%,"","","",""
9767954,"","",ADA,D6059,ABUT PORCLN TO MTL CRWN HI NOBL MTL,276,0.0%,"","","",""
8073993,"","",ADA,D3999,PR  UNSPEC ENDODONTIC PROCEDURE REPORT,270,0.0%,"","","",""
4604274,"","",ADA,D9945,"PR OCCLUSAL GUARD - SOFT APPLIANCE, FULL ARCH",268,0.0%,"","","",""
4813478,"","",ADA,D6740,PR  RETAINER CROWN - PORCELAIN/CERAMIC,262,0.0%,"","","",""
2401043,"","",ADA,D1517,"PR SPACE MAINTAINER - FIXED - BILATERAL, MANDIBULAR",261,0.0%,"","","",""
1874884,"","",ADA,D7510,PR  I&D ABSCESS-INTRAORAL SOFT TISS,261,0.0%,"","","",""
6534002,"","",ADA,D5751,PR  RELINE CMPL MAND DENTRUE LABORATORY,258,0.0%,"","","",""
6213771,"","",ADA,D7283,PR  PLCMT DEVC FACL ERUPT IMPACT TOOTH,252,0.0%,"","","",""
2923468,"","",ADA,D2752,CROWN - PORCELAIN FUSED NOBLE METAL,250,0.0%,"","","",""
7067578,"","",ADA,D7473,PR  REMOVAL OF TORUS MANDIBULARIS,244,0.0%,"","","",""
1623676,"","",ADA,D0191,PR ASSESSMENT OF A PATIENT,243,0.0%,"","","",""
9949969,"","",ADA,D0383,PR CONE BEAM CT CAP FD VIEW BOTH JAWS,234,0.0%,"","","",""
4703721,"","",ADA,D9971,PR  ODONTPLSTY 1-2 TEETH;REMV ENAML PRJ,232,0.0%,"","","",""
1204627,"","",ADA,D9951,PR  OCCLUSAL ADJUSTMENT - LIMITED,226,0.0%,"","","",""
5367123,"","",ADA,D1515,PR  SPACE MAINTAINER - FIXED-BILATERAL,208,0.0%,"","","",""
1237218,"","",ADA,D6066,IMPL SUPP PORCELN FUSED METAL CROWN,201,0.0%,"","","",""
8170098,"","",ADA,D6750,PR  RET CROWN-PORC FUSED HI NOBLE METL,196,0.0%,"","","",""
6898901,"","",ADA,D8020,PR  LTD ORTHODONT TX TRNSITIONL DENTITN,195,0.0%,"","","",""
7447404,"","",ADA,D6058,ABUT SUPP PORCELN/CERAMIC CROWN,188,0.0%,"","","",""
7887239,"","",ADA,D5130,PR  IMMEDIATE DENTURE - MAXILLARY,186,0.0%,"","","",""
6051683,"","",ADA,D1353,PR SEALANT REPAIR - PER TOOTH,181,0.0%,"","","",""
9274168,"","",ADA,D6242,PR  PONTIC - PORCELN FUSED NOBLE METAL,180,0.0%,"","","",""
5828946,"","",ADA,D9110,PR  PALLIATVE TX DENTAL PAIN-MINOR PROC,179,0.0%,"","","",""
5259948,"","",ADA,D0170,PR  RE-EVALUATION - LTD PROBLEM FOCUSED,179,0.0%,"","","",""
6075872,"","",ADA,D0145,PR  ORL EVAL PT<3 YR CNSL PRIM CAREGIVR,163,0.0%,"","","",""
2744301,"","",ADA,D2920,PR  RECEMENT CROWN,162,0.0%,"","","",""
3596530,"","",ADA,D9996,PR TELEDENTISTRY - ASYNCHRONOUS; INFORMATION STORED AND FORWARDED TO DENTIST FOR SUBSEQUENT REVIEW,154,0.0%,"","","",""
2269085,"","",ADA,D7321,PR  ALVEOLOPLSTY NOT W/XTRCT 1-3 TEETH,154,0.0%,"","","",""
2318513,"","",ADA,D4249,PR  CLIN CROWN LEN - HARD TISSUE,154,0.0%,"","","",""
6619673,"","",ADA,D5640,PR  REPLACE MISSING OR BROKEN TEETH - PARTIAL DENTURE -PER TOOTH,151,0.0%,"","","",""
2990226,"","",ADA,D0273,PR BITEWINGS-THREE RADIOGRAPHIC IMAGES,140,0.0%,"","","",""
3438401,"","",ADA,D3240,PR  PULPAL THERAPY - POST PRIMARY TOOTH,132,0.0%,"","","",""
6033823,"","",ADA,D2161,AMALGAM-FOUR/MORE SURF PRIM/PERM,130,0.0%,"","","",""
3586383,"","",ADA,D5865,PR OVERDENTURE - COMPLETE MANDIBULAR,130,0.0%,"","","",""
1410600,"","",ADA,D2961,PR  LABIAL VENEER - LABORATORY,127,0.0%,"","","",""
5275302,"","",ADA,D2390,RESIN COMPOS CROWN ANTERIOR,124,0.0%,"","","",""
7958558,"","",ADA,D6052,PR SEMI-PRECISION ATTACHMENT ABUTMENT,123,0.0%,"","","",""
7842435,"","",ADA,D1555,PR REMOVAL OF FIXED SPACE MAINTAINER,123,0.0%,"","","",""
8423170,"","",ADA,D1516,"PR SPACE MAINTAINER - FIXED - BILATERAL, MAXILLARY",123,0.0%,"","","",""
5594338,"","",ADA,D0707,PR INTRAORAL — PERIAPICAL RADIOGRAPHIC IMAGE — IMAGE CAPTURE ONLY,121,0.0%,"","","",""
9347477,"","",ADA,D5612,"PR REPAIR RESIN PARTIAL DENTURE BASE, MAXILLARY",119,0.0%,"","","",""
2906189,"","",ADA,D5422,PR  ADJUST PARTIAL DENTURE - MANDIBULAR,115,0.0%,"","","",""
9533539,"","",ADA,D6752,PR  RETNR CRWN-PORCELN FUSD NOBLE METAL,110,0.0%,"","","",""
8538336,"","",ADA,D5821,PR  INTERIM PARTIAL DENTURE MANDIBULAR,110,0.0%,"","","",""
5120846,"","",ADA,D5140,PR  IMMEDIATE DENTURE - MANDIBULAR,108,0.0%,"","","",""
6965865,"","",ADA,D9120,PR FIXED PARTIAL DENTURE SECTIONING,105,0.0%,"","","",""
1214286,"","",ADA,D1999,PR UNS PREVENTIVE PROCEDURE BY REPORT,103,0.0%,"","","",""
1881614,"","",ADA,D5512,"PR REPAIR BROKEN COMPLETE DENTURE BASE, MAXILLARY",103,0.0%,"","","",""
8629339,"","",ADA,D3221,PR  PULPAL DEBRID PRIMARY&PERM TEETH,102,0.0%,"","","",""
4969061,"","",ADA,D7870,PR  ARTHROCENTESIS,101,0.0%,"","","",""
8378189,"","",ADA,D5761,PR  RELINE MAND PART DENTURE LABORATORY,96,0.0%,"","","",""
8131270,"","",ADA,D8670,PR  PERIODIC ORTHODONTIC TX VISIT,96,0.0%,"","","",""
5377971,"","",ADA,D6100,PR  IMPLANT REMOVAL BY REPORT,96,0.0%,"","","",""
7827220,"","",ADA,D4273,PR  AUTOGEN CONNECTIVE TISS GRAFT PROC,92,0.0%,"","","",""
9010899,"","",ADA,D4321,PR  PROVISIONAL SPLINTING EXTRACORONAL,91,0.0%,"","","",""
6536160,"","",ADA,D5660,PR  ADD CLASP XST PRT DENTURE-PER TOOTH,91,0.0%,"","","",""
2246536,"","",ADA,D9243,PR IV MOD SEDATION/ANALGESIA-EA 15 MIN,91,0.0%,"","","",""
9468540,"","",ADA,D5410,PR  ADJUST COMPLETE DENTURE - MAXILLARY,88,0.0%,"","","",""
2497365,"","",ADA,D7311,PR  ALVEOLOPLSTY CONJNC XTRCT 1-3 TEETH,87,0.0%,"","","",""
8050887,"","",ADA,D5760,PR  RELINE MAXIL PART DENTURE LAB,82,0.0%,"","","",""
6107432,"","",ADA,D1352,PR PREV RSN REST MOD HIGH CARIES RISK,82,0.0%,"","","",""
2380796,"","",ADA,D7951,PR SINUS AUG BONE/BONE SUBST LAT OPN,82,0.0%,"","","",""
6235854,"","",ADA,D2750,CROWN - PORCELN FUSED HI NOBLE METL,80,0.0%,"","","",""
1261963,"","",ADA,D4346,PR SCALING PRES GEN MOD/SEV GING INF,79,0.0%,"","","",""
2733355,"","",ADA,D9992,PR DENTAL CASE MGMT - CARE COORDINATN,79,0.0%,"","","",""
5741460,"","",ADA,D9210,PR  LOC ANES-NOT CONJUNC W/OP/SURG PROC,79,0.0%,"","","",""
5281593,"","",ADA,D5611,"PR REPAIR RESIN PARTIAL DENTURE BASE, MANDIBULAR",78,0.0%,"","","",""
6200743,"","",ADA,D3410,PR  APICOECTOMY - ANTERIOR,76,0.0%,"","","",""
3917827,"","",ADA,D7411,PR  EXCISION OF BENIGN LESION > 1.25 CM,76,0.0%,"","","",""
6845479,"","",ADA,D7960,PR  FRENULECTOMY SEP PROC NOT INCIDENTL,75,0.0%,"","","",""
5771901,"","",ADA,D7251,CORONECTOMY PARTIAL TOOTH REMOVAL,72,0.0%,"","","",""
9543371,"","",ADA,D7410,PR  EXCISION BENIGN LESION TO 1.25 CM,71,0.0%,"","","",""
1641146,"","",ADA,D5863,PR OVERDENTURE - COMPLETE MAXILLARY,68,0.0%,"","","",""
9611943,"","",ADA,D9975,PR EXT BLEACH HOM APP-ARCH;MATL&TRAYS,66,0.0%,"","","",""
4946726,"","",ADA,D5511,"PR REPAIR BROKEN COMPLETE DENTURE BASE, MANDIBULAR",59,0.0%,"","","",""
8606173,"","",ADA,D9239,PR INTRAVENOUS MODERATE  (CONSCIOUS) SEDATION/ANALGESIA- FIRST 15 MINUTES,59,0.0%,"","","",""
1229498,"","",ADA,D5421,PR  ADJUST PARTIAL DENTURE - MAXILLARY,57,0.0%,"","","",""
7487373,"","",ADA,D4277,PR FREE SFT TSS GFT 1ST T/EDNTULOUS T,55,0.0%,"","","",""
7464738,"","",ADA,D4241,PR  GINGL FLP 1-3 CNTIG/TOOTH BND  QUAD,55,0.0%,"","","",""
9116284,"","",ADA,D6548,PR  RETN-PORCELN/CERAM RSN BOND PROSTH,55,0.0%,"","","",""
8021978,"","",ADA,D7550,PR  PART OSTEC/SEQECT REMV NON-VITAL BN,54,0.0%,"","","",""
2086341,"","",ADA,D7282,PR  MOBILZ ERUPT/MALPSTN TOOTH AID ERUP,54,0.0%,"","","",""
8465055,"","",ADA,D9911,PR  APPLIC DESENZT RSN CERV&/ROOT-TOOTH,53,0.0%,"","","",""
1735465,"","",ADA,D5610,PR  REPAIR RESIN DENTURE BASE,51,0.0%,"","","",""
2181702,"","",ADA,D2952,PR  POST & CORE ADD CROWN INDIRECT FAB,50,0.0%,"","","",""
5522421,"Office or other outpatient visit for the evaluation and management of an established patient, which requires at least 2 of these 3 key components: An expanded problem focused history; An expanded problem focused examination; Medical decision making of low",2414397,CPT4,99213,PR OFFICE/OUTPATIENT ESTABLISHED LOW MDM 20-29 MIN,12679285,16.33%,Procedure,CPT4,99213,CPT4
6476197,"Office or other outpatient visit for the evaluation and management of an established patient, which requires at least 2 of these 3 key components: A detailed history; A detailed examination; Medical decision making of moderate complexity. Counseling and/o",2414398,CPT4,99214,PR OFFICE/OUTPATIENT ESTABLISHED MOD MDM 30-39 MIN,12226068,15.75%,Procedure,CPT4,99214,CPT4
3621927,No matching concept,0,CPT4,LAB10827,COVID-19 CLEARANCE OR FOR PLACEMENT ONLY,3213758,4.14%,Metadata,None,No matching concept,Undefined
5246209,"Office or other outpatient visit for the evaluation and management of an established patient, that may not require the presence of a physician or other qualified health care professional. Usually, the presenting problem(s) are minimal. Typically, 5 minute",2414395,CPT4,99211,PR OFFICE/OUTPATIENT EST PT MAY NOT REQ PHYS/QHP,2888143,3.72%,Procedure,CPT4,99211,CPT4
2700717,"Therapeutic procedure, 1 or more areas, each 15 minutes; therapeutic exercises to develop strength and endurance, range of motion and flexibility",2314284,CPT4,97110,PR THERAPEUTIC EXERCISES,2755723,3.55%,Procedure,CPT4,97110,CPT4
7808935,"Emergency department visit for the evaluation and management of a patient, which requires these 3 key components: A detailed history; A detailed examination; and Medical decision making of moderate complexity. Counseling and/or coordination of care with o",2514436,CPT4,99284,"PR EMERGENCY DEPARTMENT VISIT FOR THE EVAL AND MGMT OF A PATIENT, WHICH REQUIRES A MEDICALLY APPROP HISTORY AND/OR EXAM AND MOD LEVEL OF MED DECISION MAKING.",2125099,2.74%,Procedure,CPT4,99284,CPT4
3366748,"Emergency department visit for the evaluation and management of a patient, which requires these 3 key components: An expanded problem focused history; An expanded problem focused examination; and Medical decision making of moderate complexity. Counseling",2514435,CPT4,99283,"PR EMERG DEPT VISIT FOR THE EVAL AND MGMT OF A PAT, WHICH REQUIRES A MEDICALLY APPROP HISTORY AND/OR EXAM AND LOW LEVEL OF MED DECISION MAKING.",1850365,2.38%,Procedure,CPT4,99283,CPT4
6763406,"Manual therapy techniques (eg, mobilization/ manipulation, manual lymphatic drainage, manual traction), 1 or more regions, each 15 minutes",2314290,CPT4,97140,"PR MANUAL THER TECH,1+REGIONS,EA 15 MIN",1822964,2.35%,Procedure,CPT4,97140,CPT4
5127756,"Electrocardiogram, routine ECG with at least 12 leads; tracing only, without interpretation and report",2313815,CPT4,93005,"PR ELECTROCARDIOGRAM, TRACING",1697224,2.19%,Procedure,CPT4,93005,CPT4
8728493,"Office or other outpatient visit for the evaluation and management of an established patient, which requires at least 2 of these 3 key components: A problem focused history; A problem focused examination; Straightforward medical decision making. Counselin",2414396,CPT4,99212,PR OFFICE/OUTPATIENT ESTABLISHED SF MDM 10-19 MIN,1524191,1.96%,Procedure,CPT4,99212,CPT4
8370793,"Office or other outpatient visit for the evaluation and management of an established patient, which requires at least 2 of these 3 key components: A comprehensive history; A comprehensive examination; Medical decision making of high complexity. Counseling",2514399,CPT4,99215,PR OFFICE/OUTPATIENT ESTABLISHED HIGH MDM 40-54 MIN,1501095,1.93%,Procedure,CPT4,99215,CPT4
